,stroke-style-loss,stroke-content-loss,stroke-tv-loss,stroke-curvature-loss
0,12.280372,1.9006269,144.22693,0.6430829
1,11.481962,1.8667302,133.66154,0.591274
2,10.948206,1.8408271,123.83345,0.54209244
3,10.589139,1.8170497,114.694756,0.496321
4,10.343136,1.7987456,106.37761,0.45403594
5,10.161451,1.7855215,98.53307,0.41534743
6,10.012088,1.7727265,91.32952,0.38078436
7,9.884048,1.7627268,84.55706,0.35172787
8,9.766399,1.7546227,78.38338,0.3285317
9,9.655336,1.7494442,72.678185,0.31058547
10,9.547369,1.7438049,67.36808,0.29842353
11,9.43891,1.7421024,62.50853,0.291809
12,9.333395,1.7409074,58.02984,0.28756678
13,9.232153,1.739896,53.990303,0.28212792
14,9.130308,1.7416703,50.31558,0.27419063
15,9.035437,1.7436221,46.945656,0.26396126
16,8.943159,1.7450074,43.78475,0.25212324
17,8.846733,1.749469,40.874825,0.23946248
18,8.748682,1.7554255,38.171947,0.22663677
19,8.660399,1.7630068,35.7123,0.21431956
20,8.571485,1.7675314,33.438076,0.20347562
21,8.491984,1.7697501,31.326447,0.19428353
22,8.404844,1.775931,29.427551,0.18717341
23,8.321693,1.7801509,27.613064,0.18156716
24,8.246871,1.7872694,25.960344,0.17638999
25,8.170799,1.7936134,24.338827,0.17134635
26,8.100992,1.7996821,22.90331,0.1660599
27,8.037651,1.8053563,21.583912,0.16099226
28,7.977867,1.8101714,20.367336,0.15655246
29,7.913229,1.8185194,19.232384,0.15222505
30,7.8471823,1.8251762,18.179224,0.14750516
31,7.7893367,1.8283563,17.222128,0.14343357
32,7.7255125,1.8349137,16.312859,0.1401309
33,7.661765,1.8397461,15.509388,0.1374244
34,7.5982018,1.8459201,14.716712,0.1355005
35,7.53833,1.8508475,13.995966,0.13373457
36,7.479395,1.8581042,13.321037,0.13183919
37,7.4136763,1.8651096,12.691095,0.13025308
38,7.356393,1.8704796,12.122711,0.12858245
39,7.2925453,1.8744828,11.571458,0.12662734
40,7.2246428,1.8807503,11.043174,0.12524118
41,7.1703644,1.8841009,10.564789,0.124306
42,7.1010776,1.890134,10.136152,0.1228846
43,7.0271835,1.900738,9.735925,0.12108237
44,6.9512453,1.9130235,9.346208,0.120175436
45,6.8801694,1.9254334,9.000963,0.11954929
46,6.8146143,1.9335282,8.661108,0.11931405
47,6.7332788,1.9467878,8.318717,0.119044416
48,6.663115,1.9571469,8.019441,0.11843166
49,6.58074,1.9643998,7.738596,0.117619835
50,6.497894,1.974714,7.477824,0.11724527
51,6.4133663,1.9898304,7.2190537,0.11714267
52,6.321915,2.0052028,7.0089536,0.11654566
53,6.2388287,2.0176058,6.7815833,0.11646323
54,6.1510277,2.029139,6.5739703,0.11632895
55,6.0584164,2.0418286,6.380221,0.11601473
56,5.97672,2.0425642,6.1960125,0.115757905
57,5.892241,2.0474577,6.013427,0.115890525
58,5.8150225,2.0525012,5.8446574,0.11627172
59,5.740062,2.0560725,5.67864,0.116630994
60,5.6692753,2.0622215,5.5098834,0.11741379
61,5.5938582,2.066024,5.3615394,0.11833949
62,5.524573,2.0593438,5.2292356,0.118883155
63,5.464488,2.0525684,5.079477,0.11957637
64,5.402789,2.0482001,4.9710765,0.11988139
65,5.3535643,2.0479374,4.84948,0.12031968
66,5.283946,2.054719,4.71486,0.1211254
67,5.2179704,2.061467,4.605774,0.12166443
68,5.1644077,2.0645409,4.491796,0.122168496
69,5.110961,2.0671458,4.390361,0.12266112
70,5.0669804,2.0619133,4.269443,0.12276156
71,5.0228844,2.0612137,4.1849647,0.12294707
72,4.9850693,2.0662875,4.0947742,0.1239307
73,4.9277306,2.0734243,4.003425,0.124576904
74,4.886397,2.079637,3.9144368,0.12453073
75,4.8408155,2.0788786,3.8233507,0.12527029
76,4.8135643,2.0769334,3.740829,0.12642705
77,4.781768,2.0797749,3.6596966,0.1267622
78,4.7429533,2.0808413,3.5800736,0.12676911
79,4.7009897,2.0786958,3.5051525,0.12747282
80,4.653598,2.0812163,3.4291809,0.12801194
81,4.61482,2.0857944,3.3573508,0.12842341
82,4.57965,2.082984,3.2850575,0.12866022
83,4.552223,2.0814621,3.2198465,0.12867521
84,4.525936,2.0773091,3.1558921,0.12894133
85,4.4936523,2.0727832,3.0942626,0.12866342
86,4.4564285,2.0782237,3.035894,0.12870818
87,4.430254,2.0788856,2.97961,0.12882589
88,4.406068,2.0780506,2.9323611,0.12896022
89,4.379697,2.0740712,2.8796377,0.12936242
90,4.364175,2.0778174,2.8326254,0.12938288
0,,,,,26662.898,8.264512
91,4.3292346,2.0801857,2.7892268,0.12972261,,
92,4.2945447,2.0832632,2.742978,0.13034557,,
93,4.2696095,2.0812578,2.692607,0.1303018,,
94,4.263429,2.0692985,2.6469738,0.1300601,,
95,4.2267485,2.072526,2.6051362,0.13031702,,
96,4.1861553,2.0812685,2.5638714,0.13077301,,
97,4.154739,2.0846214,2.5306087,0.1305609,,
98,4.140222,2.0810118,2.489427,0.13084032,,
99,4.1113954,2.0763702,2.4491258,0.1313157,,
1,26081.736,8.346103
2,25451.023,8.447
3,24784.13,8.5755
4,24094.617,8.730459
5,23397.477,8.908631
6,22714.783,9.104591
7,22061.92,9.310542
8,21445.766,9.518111
9,20862.836,9.719004
10,20310.102,9.907988
11,19789.232,10.084831
12,19302.832,10.251754
13,18850.3,10.410153
14,18429.79,10.560833
15,18037.68,10.70327
16,17670.02,10.836821
17,17323.232,10.959585
18,16994.355,11.071148
19,16681.5,11.172148
20,16383.62,11.263405
21,16099.968,11.346273
22,15829.618,11.422388
23,15571.527,11.494187
24,15324.792,11.563351
25,15088.452,11.630947
26,14861.749,11.697443
27,14643.283,11.763085
28,14432.347,11.827712
29,14228.564,11.891014
30,14031.324,11.952913
31,13840.121,12.013125
32,13654.797,12.07168
33,13475.044,12.128765
34,13300.525,12.184816
35,13130.939,12.24002
36,12966.147,12.294371
37,12805.868,12.34753
38,12649.871,12.399326
39,12498.104,12.449846
40,12350.275,12.498972
41,12206.176,12.546635
42,12065.646,12.593103
43,11928.604,12.638527
44,11794.878,12.682922
45,11664.378,12.726461
46,11537.043,12.769434
47,11412.721,12.812192
48,11291.357,12.854538
49,11172.948,12.896454
50,11057.385,12.937876
51,10944.66,12.978774
52,10834.611,13.01918
53,10727.192,13.058859
54,10622.368,13.097698
55,10520.072,13.1356735
56,10420.191,13.172817
57,10322.671,13.2092
58,10227.472,13.244854
59,10134.535,13.279865
60,10043.871,13.314355
61,9955.3955,13.348348
62,9869.021,13.38195
63,9784.71,13.415241
64,9702.442,13.448078
65,9622.135,13.480148
66,9543.696,13.511421
67,9467.057,13.541897
68,9392.227,13.571714
69,9319.097,13.60096
70,9247.664,13.629658
71,9177.871,13.657682
72,9109.666,13.684948
73,9042.957,13.7115345
74,8977.678,13.737436
75,8913.76,13.762861
76,8851.198,13.787952
77,8789.981,13.812686
78,8730.0,13.836939
79,8671.204,13.860616
80,8613.537,13.883655
81,8556.948,13.906134
82,8501.42,13.92803
83,8446.897,13.949345
84,8393.338,13.970044
85,8340.708,13.990147
86,8288.957,14.009707
87,8238.034,14.028773
88,8187.909,14.04715
89,8138.5273,14.064712
90,8089.853,14.081698
91,8041.8765,14.098307
92,7994.534,14.114638
93,7947.8047,14.130751
94,7901.6616,14.146543
95,7856.102,14.161884
96,7811.077,14.1767845
97,7766.5566,14.1912
98,7722.5034,14.204961
99,7678.874,14.218119
100,7635.672,14.230743
101,7592.8784,14.242984
102,7550.486,14.2549925
103,7508.4746,14.266913
104,7466.823,14.278795
105,7425.499,14.290497
106,7384.495,14.301706
107,7343.7935,14.312316
108,7303.3945,14.322368
109,7263.2676,14.33198
110,7223.4023,14.341196
111,7183.7886,14.350245
112,7144.4126,14.359243
113,7105.2695,14.368163
114,7066.342,14.376829
115,7027.6494,14.38525
116,6989.196,14.393529
117,6950.9883,14.401613
118,6913.012,14.409561
119,6875.2534,14.417286
120,6837.7017,14.424867
121,6800.3584,14.432302
122,6763.217,14.439594
123,6726.2725,14.446859
124,6689.509,14.454039
125,6652.943,14.4611
126,6616.576,14.46797
127,6580.3926,14.474682
128,6544.3896,14.481246
129,6508.559,14.487791
130,6472.8936,14.494326
131,6437.3887,14.500858
132,6402.0317,14.507379
133,6366.837,14.513781
134,6331.8135,14.519972
135,6296.9673,14.5260105
136,6262.31,14.531993
137,6227.8115,14.537996
138,6193.486,14.543924
139,6159.3276,14.549737
140,6125.339,14.555407
141,6091.5176,14.560995
142,6057.868,14.566559
143,6024.3867,14.572182
144,5991.0703,14.577826
145,5957.9253,14.583564
146,5924.963,14.589304
147,5892.1655,14.594981
148,5859.5366,14.600573
149,5827.081,14.606098
150,5794.8057,14.6115055
151,5762.7163,14.61681
152,5730.798,14.622031
153,5699.0435,14.627237
154,5667.4634,14.632341
155,5636.063,14.637353
156,5604.835,14.642287
157,5573.7876,14.647263
158,5542.919,14.652174
159,5512.229,14.657027
160,5481.7344,14.66189
161,5451.438,14.666697
162,5421.3286,14.671495
163,5391.4004,14.676301
164,5361.654,14.681105
165,5332.0938,14.685776
166,5302.719,14.690252
167,5273.5356,14.694593
168,5244.549,14.698888
169,5215.7505,14.703279
170,5187.142,14.707825
171,5158.7236,14.712278
172,5130.496,14.716555
173,5102.4546,14.720653
174,5074.6123,14.724667
175,5046.96,14.728729
176,5019.5044,14.732858
177,4992.252,14.73698
178,4965.1914,14.741096
179,4938.328,14.745057
180,4911.6606,14.748912
181,4885.186,14.752727
182,4858.911,14.756659
183,4832.8403,14.760684
184,4806.9688,14.764719
185,4781.301,14.768627
186,4755.833,14.772381
187,4730.559,14.776018
188,4705.4863,14.779488
189,4680.6123,14.782904
190,4655.9375,14.786359
191,4631.4575,14.789867
192,4607.171,14.793264
193,4583.0806,14.796527
194,4559.1904,14.799746
195,4535.5005,14.80304
196,4512.009,14.806461
197,4488.7188,14.809826
198,4465.6265,14.813087
199,4442.7305,14.81629
200,4420.0273,14.819551
201,4397.5273,14.822754
202,4375.2314,14.825903
203,4353.131,14.828957
204,4331.226,14.8318615
205,4309.5215,14.834698
206,4288.0176,14.837524
207,4266.716,14.840431
208,4245.601,14.84336
209,4224.683,14.84625
210,4203.9644,14.848972
211,4183.4414,14.851538
212,4163.1104,14.854073
213,4142.9766,14.85665
214,4123.0327,14.859347
215,4103.281,14.862032
216,4083.716,14.864607
217,4064.3472,14.867015
218,4045.168,14.8693905
219,4026.1782,14.871683
220,4007.3762,14.873943
221,3988.762,14.876282
222,3970.3345,14.878597
223,3952.094,14.880987
224,3934.0364,14.883428
225,3916.1646,14.885682
226,3898.4783,14.887703
227,3880.9666,14.889706
228,3863.6343,14.891734
229,3846.4883,14.89381
230,3829.5217,14.895948
231,3812.7327,14.898066
232,3796.1155,14.90011
233,3779.6777,14.902169
234,3763.41,14.904292
235,3747.3113,14.906305
236,3731.3882,14.908283
