,stroke-feature-loss,stroke-style-loss,stroke-content-loss,stroke-tv-loss,stroke-curvature-loss
0,4.1972647,12.28032,1.8999429,144.22693,0.64077926
1,4.2475886,11.482313,1.8669995,133.6429,0.589454
2,4.3116517,10.948463,1.840049,123.73612,0.54041255
3,4.3552384,10.594178,1.8177018,114.611305,0.4948675
4,4.3698363,10.34817,1.8000872,106.34543,0.45251355
5,4.3649726,10.162222,1.7861673,98.58684,0.4135615
6,4.3629518,10.010853,1.7742245,91.34139,0.37975165
7,4.265272,9.8795185,1.7660003,84.68665,0.35100245
8,4.1947703,9.762921,1.7581624,78.50914,0.3267912
9,4.1151733,9.650802,1.7494929,72.96971,0.3082762
