,stroke-feature-loss,stroke-style-loss,stroke-content-loss,stroke-tv-loss,stroke-curvature-loss
0,34.718243,7.881835,7.4900546,111.1299,0.68119067
1,39.78689,6.0663786,7.5463486,106.48803,0.64567214
2,40.638508,5.042577,7.5848784,103.434395,0.6146761
3,44.239574,4.1414976,7.6226263,100.98007,0.5923328
4,45.929832,3.6987405,7.640974,98.86113,0.5716027
5,46.308006,3.3658147,7.6582484,97.06367,0.5528107
6,47.790726,3.1272364,7.6731305,95.51938,0.535457
7,48.22805,2.961096,7.6860533,94.04803,0.51924694
8,48.23696,2.8327825,7.6995,92.72225,0.5038906
9,50.9246,2.752495,7.710174,91.42255,0.4895005
10,49.31092,2.635831,7.720808,90.123245,0.47566712
11,50.375664,2.5564578,7.729822,89.074745,0.46260512
12,52.104347,2.4893653,7.739206,87.97952,0.44988683
13,53.04724,2.4362218,7.7466855,86.998665,0.4378696
14,52.727936,2.3768692,7.7545013,86.01884,0.4261266
15,53.124443,2.3321557,7.760805,85.09943,0.4149339
16,53.273754,2.2884815,7.7674265,84.18893,0.4040211
17,54.07499,2.2518737,7.7722764,83.37086,0.39352107
18,53.876938,2.2168705,7.7782598,82.57275,0.3832812
19,54.08262,2.1871011,7.782618,81.79723,0.3733088
20,53.63846,2.1563857,7.7874417,80.99931,0.36372375
21,54.297977,2.1319919,7.790993,80.29845,0.3543446
22,54.2726,2.1061487,7.7951455,79.63525,0.3453083
23,54.99415,2.0828094,7.7980227,78.91071,0.33654648
24,54.969948,2.0610561,7.8017454,78.25542,0.32793218
25,54.975185,2.0423677,7.803946,77.596405,0.31963
26,54.933323,2.0239224,7.8073096,76.97903,0.31146032
27,55.028183,2.0065122,7.8087807,76.35387,0.3036007
28,54.950363,1.9885737,7.811913,75.75006,0.29575276
29,54.791378,1.976085,7.812666,75.19247,0.28825036
30,55.108036,1.9617453,7.8156548,74.633995,0.28078857
31,54.98325,1.9498017,7.816093,74.07979,0.27367985
32,55.025604,1.9359444,7.8187284,73.5756,0.26656657
33,55.036243,1.924972,7.818618,73.049866,0.25983742
34,55.01178,1.9129076,7.8208623,72.547714,0.2529521
35,54.95647,1.9039245,7.8208146,72.06884,0.24656981
36,55.38328,1.8908855,7.8231254,71.529976,0.24000606
37,55.259453,1.8810475,7.8227615,71.050835,0.23383509
38,55.03239,1.8714097,7.824782,70.52553,0.22751375
39,55.172504,1.8624305,7.824429,70.05571,0.22166869
40,55.067375,1.8524046,7.8259053,69.59636,0.21568489
41,55.445824,1.8445413,7.8252983,69.146545,0.21009178
42,54.834312,1.8375316,7.8265786,68.6672,0.20436053
43,55.02517,1.8320328,7.8264055,68.25383,0.19899417
44,54.93123,1.8241382,7.8273277,67.80305,0.19352865
45,54.964478,1.8195794,7.8272443,67.379974,0.18845144
46,54.807095,1.8107941,7.8282466,66.96043,0.18317117
47,55.18353,1.8040485,7.828189,66.57162,0.17831872
48,54.573624,1.7949175,7.8292503,66.17212,0.17329289
49,54.994526,1.7898502,7.829199,65.75989,0.16869147
50,54.959316,1.7826903,7.829864,65.35034,0.16386464
51,55.121113,1.7782806,7.8296947,64.981384,0.15947543
52,54.63118,1.774077,7.8302145,64.581535,0.154941
53,55.098454,1.771098,7.8299603,64.14383,0.15070653
54,54.933453,1.7643667,7.8303766,63.80779,0.14651513
55,54.940033,1.7599778,7.830036,63.39379,0.14239669
56,55.052002,1.7521852,7.830623,63.03916,0.13834979
57,55.011505,1.7476877,7.829958,62.667557,0.13443734
58,55.152588,1.7418022,7.830633,62.32372,0.13056603
59,55.335358,1.7381991,7.8300314,61.968494,0.12688391
60,55.175484,1.7329749,7.830533,61.622723,0.12323059
61,55.214813,1.7299697,7.830024,61.348843,0.11968634
62,54.987198,1.7258043,7.8305316,61.001747,0.116207294
63,55.332283,1.724781,7.830164,60.661945,0.11293902
64,55.128357,1.7188828,7.830387,60.335003,0.10960367
65,55.24288,1.7157551,7.830209,60.048805,0.10648183
66,55.14583,1.7091358,7.830419,59.720222,0.10341463
67,54.927383,1.7055717,7.8300366,59.411533,0.10046735
68,54.973793,1.7014134,7.830395,59.113003,0.097523905
69,54.77741,1.6964836,7.8300877,58.78165,0.094826005
70,54.951447,1.692687,7.830627,58.49417,0.09198766
71,54.715767,1.6896789,7.8302913,58.190544,0.0894903
72,54.74958,1.6860492,7.830714,57.903183,0.08681557
73,54.5272,1.6832306,7.8304224,57.61099,0.084515795
74,54.288452,1.680192,7.830729,57.325363,0.081913896
75,54.461685,1.6800604,7.8304462,57.039852,0.07978799
76,53.738705,1.6769071,7.830547,56.75971,0.07740367
77,54.74615,1.6786802,7.830459,56.481606,0.07536553
78,54.278893,1.6710639,7.8305354,56.142857,0.073155746
79,54.704773,1.6682528,7.830202,55.892986,0.07120594
