,stroke-feature-loss,stroke-style-loss,stroke-content-loss,stroke-tv-loss,stroke-curvature-loss
0,70.0927,13.129417,22.472347,138.91235,0.6848797
1,70.95926,12.776956,22.479319,138.70018,0.6836688
2,70.36979,12.457226,22.49137,138.37102,0.6824212
3,71.36471,12.129134,22.501766,138.14218,0.6811512
4,71.80243,11.797328,22.512295,137.91986,0.6798622
5,73.22041,11.472913,22.525356,137.67166,0.6785545
6,74.02432,11.152139,22.54095,137.46736,0.67723256
7,75.43422,10.830194,22.55831,137.21484,0.6759004
8,76.09039,10.509979,22.577332,136.98494,0.6745578
9,76.65439,10.194134,22.59795,136.77113,0.67320603
10,78.59021,9.882446,22.619734,136.49771,0.67184323
11,78.878006,9.574472,22.642212,136.25917,0.67046994
12,78.42353,9.270977,22.664719,136.01913,0.66908675
13,79.33337,8.974699,22.686966,135.79012,0.6676951
14,81.10886,8.68675,22.708569,135.56427,0.6662958
15,81.331955,8.407856,22.729826,135.32156,0.6648898
16,81.966866,8.140216,22.750706,135.11157,0.663477
17,81.93368,7.884827,22.771164,134.88715,0.66205853
18,82.58094,7.6430273,22.790894,134.66531,0.6606326
19,83.119125,7.416567,22.809595,134.43468,0.65919906
20,84.560165,7.20706,22.827627,134.22374,0.6577602
21,83.708145,7.0157533,22.844933,133.9167,0.6563155
22,84.668015,6.8436623,22.861502,133.66835,0.65486526
23,85.2498,6.6895223,22.877487,133.42088,0.6534113
24,85.881454,6.5524907,22.89301,133.16916,0.6519533
25,86.9893,6.429891,22.908026,132.95494,0.6504924
26,87.36823,6.3189793,22.922886,132.75584,0.64902884
27,87.484726,6.215997,22.937628,132.53552,0.6475635
28,87.982666,6.119858,22.952293,132.35698,0.6460977
29,88.17439,6.025172,22.966848,132.12419,0.6446301
30,88.65585,5.931345,22.981594,131.89842,0.64315975
31,88.470184,5.837386,22.996393,131.70134,0.64168805
32,89.23581,5.744086,23.011097,131.47997,0.6402158
33,89.55788,5.650165,23.025793,131.2583,0.63874245
34,90.86846,5.55645,23.040325,131.05472,0.637268
35,91.39999,5.4640718,23.05478,130.87897,0.6357914
36,91.353226,5.3749695,23.068905,130.67232,0.63431424
