,stroke-feature-loss,stroke-style-loss,stroke-content-loss,stroke-tv-loss,stroke-curvature-loss
0,59.013695,28.830997,367.77182,138.91235,0.68410784
1,60.277817,26.330284,371.10355,138.80241,0.68395436
2,62.316433,24.114923,374.61267,138.70218,0.6838044
3,63.664623,22.299059,378.01105,138.60187,0.68364984
4,64.48192,20.702374,381.3059,138.46982,0.6834924
5,66.189575,19.310146,384.573,138.35678,0.68333167
6,69.168785,18.103313,387.80795,138.25308,0.6831682
7,71.3751,17.019709,390.98157,138.1443,0.683002
8,73.85682,16.062325,394.0764,138.03989,0.6828319
9,74.65336,15.205803,397.06458,137.93895,0.6826572
10,75.65376,14.436747,399.9331,137.86426,0.6824782
11,77.53315,13.750193,402.68628,137.7622,0.6822953
12,77.648895,13.135338,405.31744,137.65854,0.68210834
13,78.00045,12.580793,407.84152,137.4909,0.6819174
14,79.00571,12.083401,410.24524,137.39381,0.68172246
15,79.57869,11.633125,412.52344,137.29402,0.6815238
16,80.97688,11.227982,414.6849,137.18004,0.6813218
17,80.67898,10.858502,416.7317,137.07408,0.6811164
18,81.660164,10.5248785,418.66376,136.95915,0.68090785
19,82.61601,10.222574,420.4813,136.83063,0.68069655
20,82.68236,9.946922,422.1977,136.71425,0.6804824
21,84.628235,9.694702,423.8097,136.59148,0.6802654
22,83.90753,9.46217,425.31912,136.47705,0.6800461
23,85.51803,9.249635,426.72943,136.38907,0.67982405
24,85.86468,9.050837,428.04922,136.29337,0.67959976
25,85.97764,8.867117,429.28326,136.1894,0.6793732
26,86.48195,8.694933,430.43362,136.08568,0.67914444
27,86.55091,8.53386,431.5006,135.96709,0.6789136
28,87.53572,8.382552,432.4981,135.86,0.6786806
29,88.02736,8.239402,433.4278,135.74751,0.67844564
30,88.09755,8.104591,434.28497,135.62294,0.67821056
31,88.50884,7.9755754,435.08066,135.50354,0.6779745
32,88.10874,7.85228,435.8169,135.39148,0.6777371
33,87.3529,7.737313,436.49878,135.31207,0.6774976
34,86.745804,7.6270638,437.1292,135.20067,0.67725766
35,86.96349,7.522832,437.7124,135.09215,0.6770173
36,87.2003,7.4211855,438.2583,134.9842,0.6767771
37,87.700386,7.324831,438.76877,134.89456,0.6765364
38,88.56495,7.2320676,439.24176,134.77507,0.67629564
39,88.469765,7.144153,439.6855,134.63779,0.6760543
40,88.840225,7.062991,440.11295,134.52762,0.6758132
41,89.24102,6.9824553,440.51355,134.44711,0.67557204
42,88.620605,6.9060903,440.8974,134.34624,0.67533094
43,88.80522,6.833236,441.26526,134.2441,0.67509013
44,88.29443,6.7645793,441.61295,134.11658,0.67485017
45,88.405396,6.698873,441.9475,134.01884,0.6746107
46,88.57135,6.6367817,442.26645,133.90889,0.67437154
47,88.6324,6.5775166,442.56436,133.80374,0.6741325
48,88.65767,6.520838,442.85678,133.69305,0.67389375
49,89.21523,6.4654346,443.14325,133.56883,0.6736552
50,89.532585,6.414934,443.4165,133.46211,0.6734171
51,89.049286,6.367762,443.67545,133.38353,0.6731797
52,89.54695,6.320441,443.92236,133.27666,0.6729427
53,89.48343,6.2764883,444.14966,133.16905,0.6727058
54,89.83513,6.2336826,444.36267,133.05183,0.67246956
55,89.26236,6.1922226,444.57098,132.95528,0.6722335
56,89.72078,6.1527843,444.77222,132.83177,0.67199725
57,89.475334,6.1161094,444.96368,132.72693,0.6717619
58,89.60968,6.08145,445.14374,132.62234,0.67152727
59,89.60048,6.0452023,445.31714,132.49669,0.67129284
