,stroke-feature-loss,stroke-style-loss,stroke-content-loss,stroke-tv-loss,stroke-curvature-loss
0,43.878975,16.76129,311.9319,49.358295,0.8327479
1,44.11991,15.2626,315.63602,49.28502,0.8323575
2,44.640583,13.980171,319.5836,49.228836,0.83196235
3,46.474884,12.882374,323.0551,49.180725,0.8315614
4,47.21953,11.975385,326.2687,49.1283,0.83115655
5,48.291634,11.341676,329.5135,49.086433,0.8307496
6,48.83262,10.722818,332.6946,49.038486,0.8303436
7,50.493816,10.2072315,335.7707,48.984745,0.8299369
8,51.430458,9.749703,338.72382,48.93538,0.82952714
9,52.70412,9.319329,341.54355,48.888416,0.82911474
10,53.502335,8.940693,344.25626,48.838554,0.8287008
11,55.001545,8.594312,346.86578,48.786556,0.8282844
12,55.56406,8.270386,349.3752,48.731094,0.8278662
13,56.89571,7.979272,351.75632,48.68393,0.82744616
14,57.258636,7.705297,354.01984,48.633324,0.82702446
15,58.839935,7.4519258,356.1664,48.586407,0.8266004
16,59.687534,7.2178926,358.20056,48.53838,0.82617396
17,60.720703,7.0020633,360.11176,48.48549,0.8257451
18,62.586082,6.803806,361.9095,48.437183,0.82531404
19,63.129524,6.615758,363.60272,48.374702,0.8248803
20,64.19002,6.440277,365.18555,48.309505,0.824444
21,64.7021,6.275415,366.67007,48.262173,0.8240052
22,65.88406,6.1191316,368.06842,48.218754,0.8235644
23,67.64737,5.976066,369.38367,48.169582,0.8231223
24,67.723854,5.838071,370.62415,48.116123,0.82267904
25,68.35113,5.7074146,371.79987,48.059856,0.8222332
26,69.0331,5.584854,372.90082,48.01253,0.8217858
27,70.18485,5.474947,373.95068,47.965057,0.82133603
28,70.38067,5.3705482,374.953,47.915874,0.82088506
29,70.19182,5.269022,375.8866,47.86571,0.8204326
30,70.25392,5.1760173,376.7736,47.81848,0.8199785
31,70.51163,5.089321,377.62396,47.763935,0.81952244
32,71.92836,5.009841,378.43658,47.717117,0.81906486
33,72.27318,4.9334946,379.21127,47.66728,0.8186061
34,72.34338,4.861778,379.9578,47.616924,0.81814575
35,73.19629,4.7969465,380.67456,47.57285,0.8176842
36,74.18705,4.735136,381.35657,47.52666,0.8172225
37,74.37181,4.677406,382.0163,47.479805,0.81676066
38,74.384796,4.621906,382.6591,47.436237,0.81629854
39,75.38577,4.5715,383.26727,47.38522,0.815836
40,75.51019,4.5228586,383.86136,47.355206,0.8153722
41,75.99507,4.4738073,384.44156,47.30787,0.8149075
42,76.18769,4.4334044,385.0121,47.260014,0.8144422
43,76.67983,4.3937736,385.5752,47.21121,0.8139755
44,76.596794,4.3525653,386.12073,47.162613,0.8135068
45,76.62894,4.3152165,386.65668,47.121616,0.8130376
46,76.7347,4.2789197,387.1811,47.07462,0.8125677
47,76.86051,4.2430205,387.69592,47.029655,0.81209624
48,77.52131,4.209564,388.1997,46.97943,0.81162417
49,78.39357,4.177201,388.68317,46.93241,0.8111513
50,77.98466,4.1468244,389.14978,46.914417,0.81067735
51,78.37506,4.1168766,389.60696,46.869682,0.8102033
52,78.53159,4.087455,390.0445,46.824604,0.80972826
53,78.51764,4.05854,390.46484,46.784153,0.80925214
54,79.54124,4.032542,390.8747,46.738228,0.8087751
55,79.497574,4.005346,391.26846,46.691708,0.80829823
56,79.70891,3.9783645,391.6518,46.640945,0.8078204
57,80.07278,3.9545252,392.03143,46.609047,0.8073415
58,80.13111,3.933051,392.40186,46.563553,0.8068619
59,79.972626,3.9115605,392.7605,46.519295,0.8063814
60,80.88124,3.8894799,393.1112,46.477566,0.80590016
61,80.89998,3.8693533,393.46185,46.425503,0.8054191
62,81.377975,3.847692,393.80682,46.38076,0.8049381
63,82.5003,3.8283167,394.1445,46.33481,0.80445737
64,82.39836,3.8085892,394.46603,46.28914,0.8039768
65,82.52151,3.7917936,394.78143,46.247883,0.8034961
66,82.52968,3.7717888,395.08768,46.20343,0.8030151
67,83.00887,3.7553098,395.39603,46.16494,0.80253285
68,82.520935,3.7390387,395.6903,46.117188,0.8020502
69,82.74843,3.721593,395.97977,46.068577,0.80156654
70,83.07509,3.7062225,396.25293,46.02487,0.80108255
71,83.54797,3.691059,396.5225,45.98134,0.80059767
72,83.437164,3.6758611,396.7768,45.936005,0.8001125
73,83.77911,3.6604297,397.01575,45.894485,0.7996272
74,83.75144,3.648201,397.25433,45.86761,0.7991419
75,84.26312,3.634324,397.48352,45.824154,0.7986561
76,84.11253,3.6200118,397.71307,45.78382,0.7981702
77,83.74439,3.6060808,397.93774,45.741306,0.7976846
78,83.714325,3.5938096,398.1537,45.69295,0.7971989
79,84.10935,3.583481,398.37122,45.633247,0.79671293
80,84.49105,3.5683556,398.56927,45.595676,0.7962281
81,85.204865,3.5575037,398.7704,45.538944,0.7957435
82,84.60791,3.5456986,398.9709,45.496162,0.79525846
83,85.25629,3.5299234,399.15573,45.457783,0.7947737
84,85.62242,3.5161579,399.34027,45.398872,0.7942897
85,85.319534,3.5051084,399.5196,45.35743,0.79380596
86,86.01215,3.4931195,399.69388,45.31502,0.7933232
87,87.01431,3.4824367,399.87164,45.26444,0.79284084
88,87.22002,3.471653,400.03848,45.196236,0.79235876
89,87.49462,3.4589899,400.20392,45.150696,0.7918773
90,87.47032,3.4517798,400.36752,45.107464,0.7913968
0,,,,,,0.0,6733.26,13.866537
91,87.72099,3.4413252,400.5171,45.05669,0.7909165,,,
92,88.09413,3.4313593,400.66837,45.010662,0.79043674,,,
93,88.12288,3.4224963,400.8125,44.96485,0.78995776,,,
94,88.256454,3.4142075,400.96317,44.921494,0.7894798,,,
95,88.31044,3.4058175,401.1007,44.878685,0.789002,,,
96,88.95226,3.3963962,401.23615,44.833427,0.7885245,,,
97,89.151764,3.3887722,401.36618,44.794,0.7880464,,,
98,89.50568,3.3828804,401.49692,44.75014,0.78756875,,,
99,89.5892,3.3740137,401.62012,44.71093,0.78709215,,,
1,23.096006,6387.7236,14.037118
2,26.089695,5946.6562,14.640247
3,36.078274,5776.5444,15.392649
4,36.346592,5529.877,15.636007
5,35.822662,5353.4116,15.829362
6,40.882286,5230.993,16.121885
7,37.10938,5099.1665,16.487514
8,42.649498,4961.569,16.908096
9,40.249233,4844.725,17.356308
10,43.98231,4754.0884,17.778488
11,42.773773,4664.404,18.109138
12,50.971825,4569.937,18.360388
13,53.581364,4487.7676,18.597355
14,53.92645,4418.7393,18.873207
15,52.54415,4350.731,19.197407
16,55.25437,4280.917,19.559595
17,55.734592,4216.2446,19.939983
18,57.49516,4159.991,20.293842
19,57.900574,4105.42,20.578041
20,61.325146,4049.037,20.792168
21,58.736164,3997.0266,20.985155
22,58.186195,3950.5234,21.206816
23,59.74592,3904.4421,21.474066
24,62.66576,3857.857,21.78027
25,59.882366,3814.6028,22.09412
26,59.696735,3774.7886,22.366772
27,63.254337,3734.8438,22.572456
28,61.894386,3695.7424,22.730827
29,62.298626,3659.7947,22.889145
30,60.771072,3625.067,23.07896
31,58.668846,3589.9026,23.309303
32,59.206886,3556.347,23.557316
33,63.918854,3524.7983,23.778847
34,66.06933,3493.3247,23.946524
35,69.198906,3462.7637,24.078278
36,69.58432,3433.9968,24.213577
37,69.54552,3405.6226,24.379852
38,74.1384,3377.5977,24.576801
39,74.32062,3350.917,24.775452
40,73.01667,3324.864,24.944563
41,74.99792,3299.1636,25.083519
42,73.95075,3274.5498,25.219788
43,76.46886,3250.5083,25.379139
44,76.21201,3226.8015,25.562517
45,75.017914,3203.9854,25.744576
46,74.58066,3181.713,25.900162
47,72.7731,3159.846,26.031464
48,74.89695,3138.6821,26.166336
49,78.28795,3117.9436,26.324905
50,76.32366,3097.6035,26.497997
51,77.3029,3077.8345,26.659565
52,75.84296,3058.4443,26.795311
53,74.20408,3039.5356,26.922798
54,75.53966,3021.0264,27.06442
55,74.122086,3002.8513,27.219395
56,73.816376,2985.1082,27.36845
57,77.60747,2967.7336,27.496445
58,79.92248,2950.7168,27.61803
59,79.83128,2934.0361,27.756262
60,80.94784,2917.6462,27.907047
61,81.13618,2901.59,28.04628
62,81.18778,2885.827,28.167412
63,80.43158,2870.3418,28.291494
64,77.50587,2855.0989,28.428589
65,77.00809,2840.133,28.563519
66,77.949234,2825.4272,28.685158
67,78.50958,2810.9834,28.80703
68,77.593925,2796.7722,28.941393
69,81.12991,2782.803,29.075146
70,81.13455,2769.0562,29.196415
71,80.640854,2755.5452,29.314823
72,82.23113,2742.246,29.446331
73,80.706116,2729.1777,29.580425
74,83.17676,2716.3247,29.702318
75,83.76224,2703.6843,29.827213
76,83.33417,2691.241,29.957691
77,82.24459,2678.979,30.083748
78,84.65263,2666.8884,30.210772
79,83.72123,2654.977,30.343132
80,85.17678,2643.249,30.471106
81,84.87457,2631.7021,30.593538
82,83.83588,2620.3198,30.722443
83,82.668304,2609.0935,30.840494
84,83.70834,2598.0186,30.964054
85,82.138885,2587.0996,31.07697
86,82.04678,2576.3052,31.211697
87,82.17582,2565.7239,31.299519
88,85.04866,2555.2258,31.453161
89,86.21851,2544.977,31.50288
90,86.10277,2534.6055,31.673618
91,88.12588,2524.4604,31.755096
92,86.81348,2514.4768,31.855944
93,89.22402,2504.5938,31.99917
94,90.26643,2494.8882,32.06961
95,89.30151,2485.1877,32.21044
96,87.291405,2475.6614,32.309517
97,88.43521,2466.279,32.403797
98,87.473694,2456.9714,32.548576
99,87.83271,2447.824,32.621063
100,87.49875,2438.6917,32.771366
101,87.57305,2429.726,32.85528
102,90.6345,2420.8208,32.97951
103,92.04318,2412.066,33.076866
104,92.20266,2403.412,33.17797
105,92.39962,2394.8403,33.30095
106,90.916725,2386.404,33.38404
107,90.15229,2378.0127,33.509407
108,91.75724,2369.791,33.57137
109,96.3252,2361.577,33.71269
110,95.8632,2353.5933,33.743816
111,94.96577,2345.5312,33.919212
112,95.5997,2337.7249,33.92542
113,96.99611,2329.7053,34.098385
114,100.15268,2321.9197,34.115376
115,99.121704,2314.1118,34.237465
116,100.77268,2306.4734,34.337593
117,101.465416,2298.9834,34.37373
118,104.57708,2291.4277,34.54125
119,103.5298,2284.1719,34.533016
120,102.23832,2276.6816,34.727856
121,104.430305,2269.397,34.712025
122,103.726494,2261.935,34.86492
123,103.025246,2254.7102,34.93232
124,100.834595,2247.6345,34.981308
125,101.99975,2240.5503,35.127495
126,101.87528,2233.6912,35.11465
127,102.05735,2226.6592,35.305725
128,101.888405,2219.906,35.26042
129,102.85748,2212.8044,35.44048
130,102.39823,2205.956,35.43484
131,105.075005,2199.0723,35.548077
132,105.11555,2192.345,35.644127
133,107.0302,2185.7734,35.65383
134,108.11235,2179.0728,35.818962
135,107.48804,2172.6738,35.783394
136,109.47552,2166.0137,35.98037
137,108.21705,2159.5603,35.93734
138,110.728836,2152.8555,36.089077
139,111.9911,2146.4075,36.122147
140,114.20946,2140.0544,36.189213
141,116.86338,2133.7083,36.298546
142,114.79747,2127.5554,36.283817
143,114.44017,2121.2507,36.463867
144,116.41994,2115.2727,36.402626
145,115.37999,2108.9177,36.6116
146,118.664,2102.802,36.544266
147,118.911896,2096.4587,36.7008
148,118.76135,2090.3901,36.731792
149,118.50382,2084.3306,36.790474
150,117.83116,2078.253,36.892418
151,118.26607,2072.3518,36.89796
152,119.42541,2066.3813,37.041866
153,117.63729,2060.6558,37.00507
154,115.30565,2054.65,37.18884
155,117.74119,2048.9375,37.129265
156,119.22362,2042.9745,37.32572
157,119.07245,2037.2659,37.263336
