,stroke-style-loss,stroke-content-loss,stroke-tv-loss,stroke-curvature-loss
0,31.045343,3.5500555,395.56775,0.73302233
1,30.319054,3.43533,374.4917,0.6228835
2,29.59005,3.339037,354.95636,0.5262502
3,28.86763,3.2643266,336.70782,0.44354174
4,28.152794,3.2049499,319.33316,0.373751
5,27.424433,3.1503525,302.86386,0.31732732
6,26.695873,3.1084585,286.78012,0.27420837
7,25.96024,3.0725865,271.97177,0.24358234
8,25.216732,3.0477974,258.16592,0.22535445
9,24.477364,3.0281289,244.56978,0.21913572
10,23.730385,3.0116835,232.14265,0.22359997
11,22.992338,2.9995227,220.61691,0.2365888
12,22.238441,2.9887676,209.85165,0.2527041
13,21.49511,2.9850147,199.35922,0.26776016
14,20.763103,2.9867542,189.60742,0.2813639
15,20.026527,2.9901533,180.36171,0.29402736
16,19.289068,3.0022614,171.69618,0.3062276
17,18.588673,3.0114398,163.51413,0.31851524
18,17.936296,3.0268989,155.5302,0.3307842
19,17.305567,3.0406337,148.17764,0.34329402
20,16.695208,3.0563796,141.28596,0.3559287
21,16.112886,3.0760522,134.48494,0.3686249
22,15.582741,3.098882,128.3186,0.38086888
23,15.076186,3.1218736,122.38079,0.3925515
24,14.583391,3.1451194,116.74994,0.40368226
25,14.1142025,3.1659207,111.39692,0.41445884
26,13.687424,3.1793537,106.44828,0.42482176
27,13.27145,3.1977577,101.62473,0.43488196
28,12.877102,3.2175474,97.06798,0.4441058
29,12.511897,3.2334273,92.62514,0.45267913
30,12.179692,3.248646,88.66364,0.46048456
31,11.874235,3.2589898,84.89112,0.46785685
32,11.549717,3.272124,81.182175,0.47459507
33,11.257266,3.284099,77.498955,0.48093304
34,10.946149,3.2989383,74.05934,0.48671985
35,10.67232,3.3192394,70.953186,0.49179986
36,10.419561,3.3129485,68.15985,0.49610338
37,10.169794,3.3271985,65.309525,0.4998848
38,9.930866,3.334486,62.529247,0.5033003
39,9.682728,3.3458881,59.90048,0.50656927
40,9.440534,3.3577182,57.43807,0.509552
41,9.204945,3.3703637,55.14356,0.51213425
42,8.972447,3.377676,52.937355,0.51417416
43,8.746207,3.383375,50.8679,0.51581717
44,8.527629,3.3825023,48.862705,0.5173558
45,8.298182,3.3961356,47.106285,0.5185118
46,8.051277,3.407841,45.19719,0.51960826
47,7.8356223,3.4015894,43.630978,0.5203058
48,7.6071167,3.413525,42.02448,0.52115273
49,7.3849897,3.4260573,40.41236,0.5218649
50,7.160853,3.4343643,38.93607,0.5227652
51,6.951133,3.433623,37.586536,0.5237152
52,6.741144,3.4360147,36.25627,0.52441645
53,6.532503,3.4435396,35.127422,0.52472746
54,6.325344,3.4579713,33.852375,0.52482206
55,6.1381836,3.4638312,32.66665,0.5246263
56,5.9728794,3.4556518,31.645628,0.5239394
57,5.789991,3.4574547,30.62819,0.5230565
58,5.5914135,3.4610667,29.647545,0.5219637
59,5.412686,3.4550996,28.760284,0.5205306
60,5.2616973,3.4476824,27.821692,0.51879066
61,5.1028514,3.4573252,27.007116,0.5171156
62,4.967562,3.4611533,26.191103,0.51548153
63,4.8394217,3.4554577,25.407585,0.51351213
64,4.7260365,3.4457178,24.67069,0.5113458
65,4.6042347,3.4517524,23.93459,0.5093135
66,4.4887924,3.448223,23.251812,0.50633204
67,4.3967876,3.4405441,22.634521,0.503234
68,4.319455,3.4350142,22.020506,0.50040776
69,4.227063,3.4424808,21.459274,0.49782237
70,4.1427627,3.4318643,20.911196,0.49554175
71,4.0566344,3.4346676,20.360521,0.49309784
72,3.991554,3.4312234,19.836813,0.49023438
73,3.9479284,3.4198635,19.344433,0.4872828
74,3.8852577,3.4173906,18.874197,0.48464713
75,3.8329082,3.4115124,18.42909,0.48193172
76,3.7838595,3.4017055,17.975142,0.47927654
77,3.7414093,3.3960943,17.571331,0.47683418
78,3.6918519,3.39275,17.169708,0.47446147
79,3.6460018,3.389473,16.813305,0.47178087
80,3.6193385,3.3899326,16.437246,0.4691276
81,3.560668,3.38933,16.098818,0.46655867
82,3.504522,3.4001036,15.752534,0.46400258
83,3.4968202,3.3912072,15.4089365,0.4613933
84,3.4418745,3.3915503,15.070148,0.4590573
85,3.4169903,3.3960056,14.759157,0.45691612
86,3.392828,3.3822656,14.452703,0.45426378
87,3.3587394,3.3720531,14.170902,0.4515318
88,3.3196385,3.3684034,13.915568,0.4489999
89,3.2999032,3.3651276,13.651537,0.44680953
90,3.2842362,3.357719,13.418766,0.44455606
0,,,,,63434.21,12.75508
91,3.2395191,3.357216,13.185226,0.44235367,,
92,3.2212307,3.3565376,12.94425,0.44008708,,
93,3.2051587,3.351158,12.6942,0.43778035,,
94,3.175848,3.3608844,12.480745,0.43614918,,
95,3.1553671,3.3593333,12.252047,0.43413264,,
96,3.1586313,3.3589084,12.042,0.4321418,,
97,3.1303174,3.353925,11.836734,0.43008056,,
98,3.098583,3.3541284,11.648389,0.4281952,,
99,3.0701818,3.3617785,11.460653,0.4266075,,
1,61290.418,12.8333
2,59044.035,12.935881
3,56692.656,13.065203
4,54245.26,13.222282
5,51706.18,13.409426
6,49100.266,13.627161
7,46454.086,13.875607
8,43810.996,14.154797
9,41228.41,14.464075
10,38777.81,14.802822
11,36563.824,15.166605
12,34679.434,15.544399
13,33148.816,15.912842
14,31854.709,16.24067
15,30613.85,16.5037
16,29334.26,16.696768
17,28047.484,16.827534
18,26834.145,16.914015
19,25746.055,16.974483
20,24786.98,17.02444
21,23924.266,17.073872
22,23124.932,17.131113
23,22363.834,17.200039
24,21628.107,17.28327
25,20920.15,17.380226
26,20250.496,17.488142
27,19629.295,17.602125
28,19056.238,17.714346
29,18517.719,17.817978
30,17996.219,17.907593
31,17483.086,17.981133
32,16983.178,18.041672
33,16507.117,18.094929
34,16059.942,18.147358
35,15636.845,18.204292
36,15228.725,18.268955
37,14829.501,18.342377
38,14438.932,18.423307
39,14060.706,18.508743
40,13699.012,18.59452
41,13354.796,18.675735
42,13024.9,18.74846
43,12704.701,18.810623
44,12392.724,18.862623
45,12090.957,18.907795
