,stroke-feature-loss,stroke-style-loss,stroke-content-loss,stroke-tv-loss,stroke-curvature-loss
0,69.09793,27.567465,22.182608,14.104895,1.11072
1,68.941986,25.666,22.173618,14.08619,1.1096121
2,69.82822,24.876516,22.166517,14.067854,1.1085494
3,71.78435,24.498577,22.155216,14.048492,1.1074669
4,71.78994,23.988178,22.143013,14.029153,1.1064003
5,72.65986,23.677933,22.131962,14.009208,1.1053439
6,73.91878,23.274635,22.122272,13.9901,1.1043057
7,75.096466,22.898777,22.114044,13.970525,1.1032801
8,75.05142,22.604868,22.107082,13.950772,1.1022643
9,76.41497,22.284882,22.10124,13.93237,1.1012588
10,77.34653,21.985922,22.09629,13.912674,1.1002638
11,76.6299,21.725348,22.092003,13.8935,1.0992796
12,77.68614,21.448036,22.088299,13.873941,1.0983082
13,78.38179,21.180647,22.085283,13.85489,1.0973492
14,78.777374,20.931623,22.08303,13.836173,1.0964004
15,78.00416,20.67809,22.081615,13.817306,1.0954639
16,79.130486,20.427643,22.080778,13.798771,1.0945374
17,79.47585,20.194485,22.080313,13.78129,1.0936207
18,79.84754,19.958899,22.079943,13.762364,1.0927153
19,80.40993,19.71326,22.079891,13.743692,1.091821
20,80.53203,19.480745,22.0801,13.726113,1.090937
21,81.2171,19.251076,22.080593,13.7078285,1.0900631
22,81.36261,19.018436,22.081566,13.690482,1.0891993
23,82.333435,18.800127,22.08276,13.672845,1.088345
24,81.61322,18.581718,22.084068,13.655682,1.0875005
25,82.71225,18.368484,22.08553,13.637753,1.0866648
26,82.66819,18.168684,22.087078,13.62032,1.0858365
27,82.61516,17.966997,22.088804,13.600939,1.0850161
28,82.82864,17.780334,22.090736,13.583878,1.0842028
29,83.96958,17.59936,22.092808,13.568574,1.0833955
30,84.246506,17.424997,22.094818,13.551448,1.0825952
31,84.992516,17.264372,22.09699,13.534374,1.0818008
32,84.73542,17.114653,22.099152,13.517131,1.081011
33,85.563934,16.967556,22.101274,13.49911,1.0802248
34,86.06598,16.832373,22.103588,13.48326,1.0794415
35,86.46272,16.70246,22.10572,13.465899,1.078662
36,86.48189,16.566338,22.108124,13.449708,1.0778868
37,86.721,16.43578,22.110613,13.432313,1.0771142
38,86.44658,16.312775,22.113129,13.4141865,1.0763438
39,87.053535,16.196978,22.1156,13.395944,1.075575
40,86.70521,16.08751,22.118164,13.37848,1.0748079
41,87.213806,15.982261,22.120657,13.360809,1.0740416
42,86.776726,15.885405,22.123508,13.342997,1.0732776
43,86.806625,15.7828045,22.126078,13.32647,1.0725143
44,87.00347,15.696864,22.12893,13.308668,1.0717515
45,87.61694,15.604795,22.131601,13.29168,1.07099
46,87.326965,15.51064,22.134317,13.273883,1.0702294
47,87.35144,15.421352,22.137232,13.256419,1.0694704
48,87.70558,15.347046,22.140213,13.239471,1.0687118
49,88.236275,15.265626,22.143345,13.222721,1.0679529
50,88.06668,15.179444,22.146511,13.205737,1.0671943
51,87.98564,15.100274,22.149597,13.187685,1.0664353
52,88.086784,15.017382,22.15278,13.170402,1.0656756
53,88.99034,14.945959,22.155739,13.153255,1.0649158
54,89.30727,14.879256,22.158865,13.137901,1.0641552
55,89.283134,14.816063,22.161636,13.120881,1.0633938
56,89.64664,14.748863,22.16449,13.104606,1.0626324
57,90.21226,14.684554,22.167418,13.087347,1.061871
58,90.1654,14.618877,22.170343,13.071255,1.0611093
59,90.442505,14.556824,22.17328,13.054348,1.0603471
60,90.4287,14.4895935,22.176151,13.036461,1.0595846
61,90.43392,14.426931,22.17892,13.018019,1.0588211
62,90.381226,14.367704,22.181765,13.002248,1.0580577
63,90.62633,14.309504,22.184519,12.985833,1.0572942
64,90.28736,14.249558,22.187103,12.969005,1.0565311
65,90.26732,14.196382,22.189552,12.952765,1.0557673
66,90.693016,14.14287,22.191843,12.936672,1.0550032
67,90.70736,14.089235,22.19416,12.920407,1.0542383
68,90.206024,14.035242,22.19626,12.903055,1.0534735
69,90.33263,13.98076,22.19846,12.885587,1.0527083
70,90.37048,13.929006,22.200596,12.869298,1.0519438
71,90.39364,13.878456,22.203094,12.854191,1.0511796
72,90.975266,13.827232,22.205366,12.839945,1.0504152
73,91.091446,13.788148,22.207611,12.824146,1.0496509
74,91.05403,13.745672,22.209753,12.807639,1.0488865
75,91.33984,13.707331,22.211735,12.791753,1.0481223
76,91.22825,13.656935,22.213772,12.774419,1.0473578
77,91.04361,13.613053,22.21563,12.758349,1.0465932
78,91.061386,13.573204,22.217552,12.742215,1.045828
79,91.18747,13.529846,22.219551,12.725645,1.0450618
80,91.1148,13.481667,22.221495,12.710146,1.0442959
81,90.91173,13.438995,22.223413,12.695153,1.0435289
82,91.35674,13.394126,22.225378,12.679388,1.0427618
83,91.19869,13.346662,22.22728,12.670351,1.0419954
84,91.265755,13.30492,22.229074,12.655143,1.0412301
85,91.02757,13.274128,22.230839,12.638165,1.0404649
86,91.27637,13.228293,22.232462,12.622773,1.0397002
87,91.27788,13.188202,22.233997,12.607243,1.0389347
88,91.85706,13.156062,22.235737,12.592696,1.038169
89,92.05322,13.120958,22.23713,12.576098,1.0374036
90,91.61226,13.084129,22.238358,12.560413,1.0366383
0,,,,,,0.0,25399.275,21.169476
91,91.698494,13.042452,22.239777,12.545229,1.0358733,,,
92,92.23397,13.004151,22.241102,12.531111,1.0351084,,,
93,92.01607,12.960938,22.242487,12.516078,1.0343434,,,
94,92.60127,12.918142,22.243681,12.49937,1.0335782,,,
95,92.797844,12.876497,22.245197,12.484196,1.0328126,,,
96,93.082466,12.844996,22.246555,12.470288,1.0320463,,,
97,93.41483,12.8094845,22.247936,12.45473,1.0312796,,,
98,93.83477,12.779165,22.24945,12.439833,1.0305126,,,
99,93.80557,12.74102,22.250914,12.422949,1.0297455,,,
1,20.400429,24485.273,21.888884
2,22.596968,23338.148,21.410997
3,26.627087,22573.26,21.715809
4,32.70434,21748.324,22.260553
5,32.110672,21042.959,22.912556
6,31.98868,20514.738,23.568098
7,35.571846,20012.713,24.039215
8,35.47251,19511.738,24.353783
9,33.83792,19086.205,24.637989
10,35.44549,18726.48,24.977795
11,36.61866,18372.04,25.395168
12,40.38306,18008.9,25.881027
13,38.298916,17667.88,26.40718
14,37.6978,17364.31,26.930315
15,43.365097,17072.127,27.38508
16,42.92754,16772.34,27.753555
17,50.513744,16484.69,28.07627
18,52.49283,16222.477,28.407175
19,55.30746,15972.993,28.781906
20,61.700706,15722.093,29.209412
21,62.469643,15476.067,29.677204
22,64.51455,15247.057,30.154205
23,68.014084,15030.744,30.597141
24,70.392845,14815.313,30.978527
25,74.35582,14603.517,31.310818
26,70.26035,14404.036,31.633259
27,69.47609,14214.042,31.979837
28,72.47613,14026.001,32.368664
29,76.39736,13842.152,32.79389
30,79.55661,13668.772,33.22903
31,98.5676,13502.873,33.64363
32,104.75591,13339.076,34.020706
33,104.75458,13180.942,34.373184
34,105.2038,13031.441,34.733192
35,112.98457,12886.365,35.122932
36,107.946335,12743.796,35.543846
37,103.932884,12607.424,35.97554
38,101.87194,12477.567,36.386475
39,102.821556,12350.535,36.760082
40,109.3979,12227.627,37.108288
41,104.23942,12110.666,37.457085
42,108.345436,11997.004,37.82867
43,108.054504,11886.415,38.221493
44,118.16353,11780.989,38.613823
45,120.453896,11679.422,38.98166
46,124.13406,11580.541,39.316425
47,125.303474,11486.021,39.634037
48,123.967316,11394.981,39.960754
49,121.67496,11306.417,40.304405
50,121.22589,11221.437,40.650192
51,127.442566,11139.64,40.975002
52,136.05544,11060.013,41.27281
53,130.81555,10983.461,41.55886
54,134.2195,10909.592,41.853848
55,134.7415,10837.669,42.1621
56,140.07469,10768.411,42.469177
57,140.2264,10701.458,42.755516
58,146.38658,10636.4,43.017776
59,146.20259,10573.667,43.270382
60,142.16077,10512.757,43.52837
61,143.2794,10453.437,43.79428
62,145.51901,10396.075,44.05453
63,142.13295,10340.235,44.296608
64,143.5473,10286.016,44.526535
65,146.07831,10233.445,44.75697
66,147.83345,10182.193,44.995888
67,144.12317,10132.3955,45.23609
68,148.68929,10083.9,45.4637
69,159.48465,10036.58,45.678246
70,155.40842,9990.549,45.891518
71,158.02997,9945.538,46.11181
72,162.89664,9901.67,46.334587
73,165.29303,9858.893,46.5476
74,165.60324,9817.067,46.747574
75,163.92804,9776.272,46.944717
76,170.51738,9736.373,47.1465
77,168.73752,9697.45,47.348103
78,165.86617,9659.447,47.539764
79,169.64023,9622.276,47.720394
80,166.44324,9585.927,47.899517
81,165.0302,9550.32,48.08349
82,171.06233,9515.487,48.26648
83,180.38393,9481.351,48.440147
84,180.04044,9447.908,48.607883
85,179.05252,9415.121,48.778976
86,181.23761,9382.933,48.953094
87,181.79689,9351.379,49.122295
88,185.51372,9320.378,49.282837
89,179.93396,9289.962,49.439693
90,176.29015,9260.093,49.598755
91,176.25867,9230.737,49.758575
92,179.45998,9201.898,49.912704
93,175.62509,9173.554,50.061897
94,171.16682,9145.699,50.211834
95,169.8294,9118.289,50.36344
96,173.63016,9091.33,50.512928
97,172.73802,9064.817,50.657368
98,172.06645,9038.729,50.80025
99,165.31454,9013.021,50.945854
100,165.695,8987.692,51.092037
101,171.05368,8962.747,51.23455
102,172.17883,8938.177,51.373844
103,171.20741,8913.952,51.51407
104,168.57513,8890.056,51.654976
105,174.06026,8866.484,51.793053
106,171.57347,8843.234,51.9274
107,179.33769,8820.303,52.061977
108,176.69908,8797.673,52.197197
109,177.88683,8775.367,52.32899
110,175.33113,8753.364,52.45783
111,179.16483,8731.664,52.588432
112,178.75647,8710.244,52.721214
113,179.12727,8689.105,52.85205
114,174.15831,8668.229,52.97968
115,185.23584,8647.607,53.107105
116,183.18004,8627.239,53.234894
117,182.70937,8607.117,53.359413
118,181.88129,8587.254,53.48114
119,184.10548,8567.624,53.60249
120,183.76619,8548.195,53.724022
121,179.09491,8529.0,53.842308
122,178.85423,8510.028,53.957558
123,182.03871,8491.253,54.072372
124,180.88255,8472.695,54.186268
125,180.86469,8454.343,54.29847
126,174.97452,8436.181,54.41093
127,178.10748,8418.225,54.524612
128,176.95267,8400.475,54.636803
129,172.87459,8382.925,54.746017
130,172.86534,8365.5625,54.85486
131,176.86446,8348.385,54.964787
132,174.12163,8331.385,55.073288
133,173.10017,8314.558,55.18001
134,170.75964,8297.898,55.28757
135,171.44043,8281.423,55.394524
136,171.76251,8265.106,55.49885
137,173.81963,8248.948,55.60219
138,174.43367,8232.953,55.70621
139,175.25095,8217.117,55.809067
140,177.16084,8201.436,55.91018
141,178.03279,8185.894,56.01078
142,176.92836,8170.4897,56.111267
143,178.23723,8155.224,56.210304
