,stroke-feature-loss,stroke-style-loss,stroke-content-loss,stroke-tv-loss,stroke-curvature-loss
0,64.125534,153.3032,213.3964,7216.376,0.43682325
1,64.64557,138.83405,217.9266,7214.3267,0.43642923
2,65.30824,126.03539,224.00858,7212.8926,0.4360356
3,67.462494,114.96418,230.35861,7210.776,0.4356402
4,69.827354,105.37391,236.79716,7208.775,0.4352455
5,70.03112,97.005905,243.28853,7205.124,0.43485004
6,70.8395,89.55388,249.70987,7203.0737,0.43445474
7,72.35146,82.842285,256.01135,7202.651,0.4340598
8,72.42864,76.86809,262.189,7200.7188,0.43366534
9,73.65899,71.550354,268.23938,7198.6323,0.4332719
10,74.12277,66.774124,274.14276,7196.58,0.43287906
11,75.959236,62.48519,279.89453,7194.528,0.43248612
12,78.21951,58.659534,285.49756,7191.231,0.43209255
13,79.48363,55.2504,290.9672,7189.179,0.43169957
14,82.10852,52.216434,296.2914,7187.0635,0.43130776
15,85.71807,49.51736,301.44308,7185.012,0.43091494
16,84.46331,47.112408,306.43762,7183.1123,0.43052208
17,84.86943,44.961258,311.29938,7180.979,0.4301308
18,86.547424,43.033897,316.0103,7179.0654,0.42974067
19,87.31362,41.317917,320.57382,7177.0146,0.42935088
20,88.12736,39.784554,324.97668,7175.295,0.4289614
21,86.97753,38.412594,329.20288,7174.658,0.42857152
22,88.935555,37.188065,333.24188,7172.607,0.42818177
23,90.88715,36.083836,337.0923,7170.6953,0.42779315
24,91.94673,35.09212,340.74948,7168.646,0.42740452
25,90.860054,34.19935,344.20715,7164.711,0.42701572
26,91.36302,33.40783,347.46793,7163.902,0.42662632
27,91.13201,32.68428,350.5298,7160.435,0.4262376
28,90.76904,32.029106,353.38962,7158.2847,0.4258492
29,92.385666,31.433277,356.06235,7156.53,0.42546076
30,92.36487,30.897314,358.54706,7154.4287,0.42507246
31,90.9052,30.400505,360.8426,7152.6562,0.42468408
32,89.77492,29.937143,362.97562,7150.6147,0.4242971
33,89.566055,29.51485,364.95004,7148.5757,0.42390954
34,90.04785,29.127665,366.78613,7146.4985,0.42352185
35,90.77774,28.776531,368.50165,7144.461,0.42313462
36,90.31293,28.452234,370.09613,7141.3926,0.4227475
37,90.23616,28.139162,371.56158,7139.3247,0.42236003
38,90.40517,27.851604,372.92792,7136.905,0.4219736
39,91.262314,27.58215,374.18988,7134.844,0.4215882
40,91.49873,27.326447,375.37238,7132.815,0.4212035
41,91.773636,27.089447,376.47632,7130.6636,0.42082065
42,92.19731,26.861347,377.49207,7128.6973,0.42043963
43,91.71371,26.656416,378.44006,7126.459,0.42005852
44,92.07886,26.448399,379.31827,7124.393,0.41967747
45,92.040344,26.246632,380.14774,7122.336,0.41929707
46,91.47745,26.063526,380.92426,7119.2217,0.41891754
47,91.794876,25.882214,381.65878,7117.199,0.41853774
48,91.34507,25.697079,382.34195,7115.1777,0.41816106
49,91.14188,25.531197,382.9965,7111.822,0.41778412
50,89.84547,25.37409,383.62952,7109.8027,0.41740853
51,89.323,25.226528,384.25043,7107.7847,0.41703254
52,87.98256,25.086128,384.85394,7105.7617,0.41665614
53,87.67355,24.945122,385.4419,7103.7344,0.4162795
54,87.16489,24.815323,386.02533,7101.7188,0.4159028
55,86.77094,24.698122,386.59418,7100.2935,0.4155267
56,85.99312,24.589016,387.1432,7098.3755,0.41515315
57,85.313965,24.478592,387.67682,7095.7417,0.4147805
58,85.583664,24.381447,388.18973,7093.072,0.41440773
59,85.32248,24.286041,388.6709,7091.06,0.414035
60,85.15793,24.187746,389.12292,7089.0503,0.41366276
61,85.20097,24.098034,389.55917,7087.041,0.4132927
62,84.84844,24.018614,389.99176,7085.033,0.41292253
63,84.96913,23.935303,390.41663,7083.0273,0.41255218
64,84.894905,23.86493,390.83594,7082.136,0.41218376
65,85.81026,23.784277,391.23254,7080.0605,0.41181692
66,85.59047,23.71071,391.61896,7077.962,0.4114506
67,85.346954,23.641558,391.99426,7075.959,0.4110847
68,86.316795,23.571667,392.36545,7074.5986,0.41072032
69,86.00074,23.503407,392.72397,7072.9043,0.41035625
70,85.6419,23.442577,393.06726,7070.988,0.4099944
71,85.34581,23.392279,393.4043,7068.991,0.4096348
72,86.25049,23.341562,393.7316,7066.996,0.4092755
73,85.97912,23.281647,394.0555,7064.6807,0.40891704
74,86.01917,23.215515,394.38098,7062.6885,0.40856025
75,85.82985,23.169832,394.69254,7060.625,0.40820393
76,85.34165,23.10643,395.00235,7058.635,0.4078497
77,85.42375,23.061705,395.32773,7056.6455,0.40749577
78,85.38566,23.006012,395.6645,7054.6226,0.4071436
79,85.11148,22.955648,396.02557,7052.427,0.40679204
80,84.87662,22.89386,396.39047,7050.4404,0.4064408
81,84.95701,22.848812,396.74744,7048.454,0.40609038
82,85.25444,22.793854,397.0899,7046.4805,0.40574017
83,85.088104,22.747843,397.4325,7044.4976,0.40539148
84,84.980156,22.6926,397.786,7040.105,0.40504396
85,85.23265,22.647598,398.14407,7036.867,0.4046976
86,84.96132,22.609238,398.4967,7035.572,0.40435162
87,85.23233,22.559479,398.8439,7033.5957,0.40400597
88,84.810684,22.51427,399.19446,7027.2866,0.4036604
89,85.08958,22.464878,399.54102,7025.7446,0.40331584
90,85.696266,22.424334,399.89532,7023.769,0.40297207
0,,,,,,0.0,44022.543,27.93356
91,85.21861,22.376553,400.24475,7022.0005,0.40263084,,,
92,85.18706,22.333984,400.59753,7020.738,0.40229088,,,
93,85.55391,22.289942,400.94946,7018.764,0.4019518,,,
94,85.76981,22.250366,401.30188,7016.1797,0.40161604,,,
95,85.71381,22.204514,401.64105,7014.212,0.40128192,,,
96,85.4855,22.167664,401.95578,7012.077,0.4009476,,,
97,85.84075,22.120703,402.27368,7010.112,0.40061456,,,
98,85.51881,22.084505,402.58728,7008.1465,0.40028432,,,
99,85.21765,22.042957,402.90335,7006.1816,0.39995483,,,
1,16.712957,42125.055,27.997593
2,25.472528,40393.895,28.276825
3,31.504572,38789.664,28.857784
4,38.330807,37287.49,29.716106
5,35.392235,35875.945,30.791883
6,33.481373,34537.902,31.997868
7,28.163492,33256.85,33.263268
8,26.296906,32023.14,34.580223
9,28.811419,30829.215,35.959354
10,35.290314,29668.11,37.404457
11,32.542637,28539.996,38.889946
12,31.052853,27439.162,40.38842
13,32.334824,26364.875,41.889595
14,34.228947,25317.262,43.378834
15,35.586132,24301.473,44.8739
16,35.228313,23318.39,46.396145
17,36.9235,22370.117,47.943787
18,39.618065,21456.258,49.496834
19,40.2714,20576.85,51.037197
20,43.551723,19734.584,52.545643
21,44.071484,18932.266,54.020557
22,44.87101,18172.967,55.48464
23,45.936142,17457.857,56.9322
24,47.88973,16783.295,58.36432
25,51.776516,16148.319,59.767296
26,61.721684,15555.642,61.12102
27,67.98855,15004.242,62.412296
28,74.45277,14492.13,63.628212
29,71.967354,14016.408,64.77644
30,71.64858,13574.504,65.86286
31,74.78544,13162.914,66.88018
32,85.419464,12779.04,67.82021
33,90.7409,12418.728,68.66432
34,88.90471,12078.168,69.40902
35,88.152664,11754.723,70.067375
36,102.94138,11448.114,70.65288
37,109.79226,11157.817,71.18945
38,110.59979,10884.652,71.69186
39,127.58518,10628.71,72.15164
40,132.83379,10388.977,72.5831
41,136.99709,10163.84,73.004486
42,138.72276,9951.317,73.43764
43,147.3036,9749.199,73.894875
44,149.9218,9556.086,74.3716
45,150.1368,9371.152,74.85181
46,151.78813,9194.53,75.326096
47,147.50682,9026.259,75.79651
48,145.07712,8866.142,76.269104
49,146.1287,8713.6455,76.731255
50,152.70967,8568.306,77.168976
51,151.96335,8429.316,77.57557
52,154.72453,8295.9,77.95198
53,156.61423,8167.614,78.30203
54,154.51996,8044.2524,78.6343
55,158.8305,7925.672,78.95099
56,159.56566,7811.917,79.25421
57,162.4325,7702.6094,79.54578
58,164.8783,7597.629,79.83142
59,171.58505,7496.6816,80.11919
60,168.50424,7399.4614,80.41622
61,165.2718,7305.6436,80.719666
62,170.39095,7214.961,81.02311
63,173.62477,7127.409,81.31955
64,173.79857,7042.9746,81.6114
65,176.17831,6961.5166,81.900955
66,186.891,6882.894,82.18117
67,185.09293,6806.954,82.44249
68,191.26434,6733.4985,82.679306
69,192.825,6662.3677,82.89913
70,196.47852,6593.5244,83.116516
71,192.19455,6526.916,83.32657
72,192.32787,6462.3403,83.52356
73,188.32721,6399.6963,83.7088
74,191.99373,6339.0215,83.89473
75,196.54724,6280.1914,84.089806
76,196.64642,6223.0063,84.2873
77,201.1617,6167.466,84.48121
78,204.41783,6113.3657,84.66789
79,207.86702,6060.7524,84.853134
80,208.99773,6009.4727,85.041115
81,207.79547,5959.5723,85.22391
82,206.27429,5911.0312,85.39291
83,211.01053,5863.7827,85.55642
84,212.9113,5817.725,85.723305
85,213.2072,5772.819,85.886215
86,213.97302,5728.9736,86.04003
87,217.13783,5686.261,86.18921
88,222.39034,5644.5825,86.34284
89,222.11168,5603.78,86.5009
90,217.93985,5563.9253,86.656525
91,219.56021,5524.951,86.81133
92,220.34721,5486.798,86.97155
93,225.5985,5449.4775,87.13543
94,229.60065,5412.982,87.29532
95,233.27985,5377.2676,87.450775
96,237.3684,5342.355,87.609085
97,236.27802,5308.165,87.76684
98,242.09035,5274.7236,87.91912
99,242.54845,5241.996,88.068085
100,241.44392,5209.91,88.21717
101,240.74402,5178.4707,88.36435
102,238.41753,5147.68,88.504906
103,234.6294,5117.4883,88.64353
104,238.83658,5087.881,88.78185
105,234.68149,5058.812,88.91854
106,235.54974,5030.2495,89.05583
107,240.32448,5002.1953,89.19524
108,240.16122,4974.675,89.338615
109,238.46269,4947.6523,89.483116
110,238.06198,4921.133,89.62427
111,242.07098,4895.0503,89.76498
112,241.39865,4869.384,89.90113
113,244.6871,4844.1724,90.03331
114,249.2872,4819.3813,90.164185
115,247.29063,4794.976,90.29379
116,249.19505,4770.961,90.4218
117,251.53275,4747.3247,90.55115
118,247.84283,4724.064,90.68376
119,247.54031,4701.179,90.80769
120,252.33493,4678.671,90.92944
121,253.90515,4656.517,91.05501
122,265.6633,4634.719,91.17514
123,264.14062,4613.2583,91.28987
124,265.80402,4592.105,91.41071
125,265.9814,4571.2666,91.53262
126,262.89456,4550.7183,91.64928
127,262.24338,4530.471,91.77037
128,263.63992,4510.528,91.893616
129,264.23798,4490.8433,92.00871
130,261.75388,4471.445,92.123024
131,255.129,4452.321,92.241165
132,255.77487,4433.462,92.35629
133,259.1199,4414.863,92.46915
134,260.65378,4396.5024,92.58725
135,262.92728,4378.3877,92.70203
136,264.70206,4360.5166,92.81152
137,267.86493,4342.879,92.92548
138,264.8011,4325.49,93.03497
139,264.373,4308.3203,93.13938
140,259.82736,4291.3574,93.248276
141,260.47528,4274.613,93.35601
142,260.70984,4258.069,93.46155
143,264.5526,4241.7114,93.572754
144,267.80084,4225.5386,93.6808
145,268.62192,4209.5503,93.78737
146,269.78754,4193.737,93.89611
147,269.55212,4178.114,94.00078
148,268.46405,4162.6846,94.100266
149,270.79456,4147.435,94.202896
150,268.91376,4132.3545,94.299545
151,271.2224,4117.43,94.397766
152,275.25024,4102.675,94.49482
153,277.70898,4088.0662,94.59184
154,281.11972,4073.6187,94.68736
155,284.66745,4059.332,94.782524
156,288.6933,4045.1897,94.87868
157,285.83908,4031.1926,94.97314
158,288.71445,4017.333,95.06888
159,290.3552,4003.6155,95.163864
160,288.917,3990.0503,95.25705
161,286.74155,3976.617,95.3508
162,288.52075,3963.3235,95.44659
163,288.6183,3950.16,95.53758
164,288.73993,3937.1174,95.632286
165,287.26648,3924.2036,95.72249
166,289.59116,3911.4001,95.81682
167,288.14752,3898.7222,95.90791
168,293.95523,3886.16,95.99695
169,290.7697,3873.7183,96.09176
170,287.06934,3861.408,96.17741
171,282.70114,3849.211,96.2693
172,285.66577,3837.1294,96.3569
173,284.12662,3825.1663,96.44003
174,290.2301,3813.3145,96.52739
175,295.43918,3801.5625,96.61007
176,288.07553,3789.9038,96.69565
177,286.27588,3778.3452,96.7825
178,288.24872,3766.8801,96.86616
179,293.9548,3755.5083,96.95564
180,298.0964,3744.2322,97.037445
181,299.66098,3733.0403,97.126495
182,293.57748,3721.9436,97.20707
183,292.38593,3710.931,97.29266
184,296.46353,3700.015,97.37613
185,295.80594,3689.1914,97.45798
186,303.6103,3678.4495,97.543106
187,302.9205,3667.8135,97.6245
188,309.88467,3657.2527,97.70926
189,309.66156,3646.774,97.79232
190,309.43338,3636.372,97.8761
191,308.15576,3626.0557,97.95973
192,306.34897,3615.823,98.040924
193,297.47208,3605.6533,98.12805
194,297.1803,3595.562,98.20693
195,297.80298,3585.545,98.29182
196,302.31784,3575.601,98.37139
197,301.23016,3565.737,98.44847
198,303.7691,3555.9324,98.532036
199,305.82492,3546.2048,98.60588
