,stroke-feature-loss,stroke-style-loss,stroke-content-loss,stroke-tv-loss,stroke-curvature-loss
0,34.91716,28.458109,7.490248,111.1299,0.6806891
1,35.08111,27.917604,7.4864416,110.60392,0.6774517
2,34.791466,27.409012,7.482541,110.14748,0.6743011
3,34.86783,26.936779,7.4770904,109.64269,0.671196
4,35.391155,26.52073,7.4709697,109.222725,0.6681204
5,35.35444,26.17913,7.4653406,108.79201,0.66505843
6,35.16025,25.905401,7.460429,108.312515,0.661983
7,35.42927,25.679832,7.4560905,107.84304,0.6588743
8,35.50938,25.469742,7.452284,107.36145,0.6557323
9,36.25994,25.252483,7.449065,106.93746,0.6525676
10,36.607723,25.026173,7.4464355,106.49414,0.64939255
11,37.011627,24.812912,7.4444947,106.05836,0.6462099
12,37.311726,24.609415,7.4431033,105.5892,0.643023
13,37.80287,24.408379,7.4422503,105.134705,0.63983285
14,37.60046,24.204695,7.4418297,104.715805,0.6366461
15,37.630844,23.99916,7.441768,104.26874,0.6334636
16,37.633354,23.80344,7.442127,103.83341,0.6302805
17,38.00236,23.611162,7.4428363,103.42413,0.62709737
18,37.566704,23.421804,7.443853,102.96811,0.6239138
19,37.68262,23.234535,7.445076,102.541824,0.62073135
20,37.467655,23.052723,7.446481,102.14826,0.61755085
21,37.74277,22.873056,7.4481792,101.72836,0.6143723
22,38.21937,22.700357,7.4500036,101.28142,0.61120844
23,38.21438,22.530354,7.4520845,100.83059,0.6080578
24,38.09886,22.35868,7.454339,100.38376,0.60491925
25,38.095516,22.190536,7.4567733,99.94343,0.6017891
26,37.99272,22.02811,7.459387,99.54485,0.5986686
27,38.133728,21.86808,7.4621663,99.13219,0.59555763
28,38.149277,21.712288,7.465042,98.738075,0.5924549
29,37.85828,21.552654,7.4679866,98.33974,0.5893644
30,38.10123,21.39893,7.471048,97.88618,0.58628124
31,37.718525,21.248814,7.474226,97.50789,0.5832078
32,38.27745,21.096357,7.477356,97.12392,0.5801515
33,38.30482,20.94759,7.4805427,96.690994,0.5771126
34,38.276688,20.800959,7.4837675,96.27017,0.5740906
35,38.408627,20.662613,7.487054,95.86067,0.5710839
36,38.668934,20.523933,7.490222,95.42168,0.5680928
37,38.733734,20.386948,7.49351,95.044624,0.56511706
38,39.20752,20.251915,7.4968033,94.67017,0.56215507
39,39.150475,20.122845,7.500117,94.27652,0.5592071
40,39.511215,20.000343,7.5034804,93.91077,0.55627626
41,39.61354,19.876612,7.506822,93.52932,0.5533618
42,39.856575,19.761597,7.510176,93.16299,0.5504692
43,40.312675,19.650555,7.5135117,92.7702,0.5475974
44,41.091618,19.549744,7.516819,92.38523,0.5447476
45,41.356995,19.441242,7.5201178,92.02059,0.5419178
46,42.109436,19.339134,7.523327,91.66647,0.53910506
47,41.998642,19.24378,7.526608,91.265816,0.5363113
48,42.25908,19.149473,7.529842,90.864655,0.5335412
49,42.28637,19.05806,7.53315,90.492226,0.53078383
50,42.34384,18.975914,7.5363235,90.13671,0.52804023
51,43.00241,18.89212,7.539471,89.74574,0.52530646
52,43.234043,18.821241,7.542679,89.428,0.52258927
53,43.36212,18.746185,7.545902,89.06058,0.51989436
54,43.98258,18.667234,7.5490284,88.72397,0.5172188
55,44.007683,18.58616,7.5521326,88.36657,0.5145562
56,43.82378,18.517912,7.555274,88.02913,0.5118993
57,44.092796,18.449837,7.558318,87.68455,0.509254
58,44.405617,18.380135,7.5614758,87.343735,0.5066252
59,44.528725,18.31886,7.5646696,87.000626,0.5040136
60,44.95919,18.255981,7.5678773,86.6548,0.50140953
61,45.090717,18.189346,7.5709867,86.30656,0.4988151
62,44.581142,18.124868,7.5742197,85.95496,0.49623248
63,44.788815,18.073685,7.577317,85.59816,0.4936599
64,45.2742,18.016216,7.5804424,85.286995,0.49109697
65,45.69213,17.954113,7.5834484,84.916565,0.48854482
66,45.765884,17.891685,7.586534,84.5868,0.48599824
67,45.927322,17.832846,7.589573,84.240166,0.4834573
68,45.54352,17.773167,7.592563,83.90487,0.4809201
69,45.498066,17.713419,7.595639,83.51126,0.47839078
70,45.307434,17.662828,7.598713,83.18476,0.47587538
71,45.72847,17.605804,7.6016917,82.89508,0.4733778
