,stroke-feature-loss,stroke-style-loss,stroke-content-loss,stroke-tv-loss,stroke-curvature-loss
0,46.00289,47.674034,16.160091,618.9333,0.53864104
1,46.49147,43.7201,16.191654,618.56195,0.53838706
2,47.880722,40.810936,16.232662,618.20355,0.5381405
3,48.61177,39.188683,16.277763,617.8433,0.5378861
4,49.908875,37.60913,16.327896,617.5483,0.53762627
5,51.535984,36.32744,16.385332,617.28986,0.5373627
6,52.519516,35.171753,16.447893,616.903,0.5370963
7,53.70175,34.04171,16.51472,616.52057,0.5368282
8,55.4652,33.05786,16.585293,616.2777,0.5365582
9,56.67644,32.17195,16.657986,615.8112,0.53628755
10,58.27377,31.341536,16.732382,615.4548,0.5360151
11,60.27204,30.5923,16.808321,615.11566,0.53574157
12,61.74328,29.89483,16.884605,614.7736,0.53546816
13,62.910114,29.226978,16.961262,614.44183,0.5351945
14,64.28609,28.613106,17.037224,614.13556,0.5349204
15,65.19049,28.03366,17.112347,613.7919,0.534646
16,65.95926,27.493505,17.18605,613.43933,0.53437084
17,66.69669,26.977139,17.257936,613.0407,0.53409576
18,66.91476,26.486216,17.327427,612.6544,0.5338196
19,67.525345,26.02414,17.394032,612.37585,0.53354347
20,68.46185,25.58574,17.457752,612.0211,0.5332674
21,69.03407,25.179384,17.519156,611.6724,0.5329913
22,69.82061,24.77543,17.578154,611.3936,0.5327151
23,70.62939,24.401928,17.63468,610.89935,0.5324397
24,71.807526,24.039425,17.68916,610.5364,0.53216445
25,72.34489,23.703552,17.741653,610.2435,0.53188896
26,72.48935,23.39094,17.792095,609.9047,0.5316127
27,72.66911,23.103329,17.840603,609.5686,0.53133607
28,73.75107,22.847794,17.88829,609.26855,0.53105986
29,74.59506,22.604818,17.934803,608.9375,0.53078437
30,74.97748,22.356853,17.979969,608.6018,0.53050923
31,75.11659,22.135262,18.023594,608.26355,0.53023374
32,75.345795,21.94025,18.0659,607.63306,0.5299592
33,75.81335,21.744854,18.106995,607.3031,0.52968514
34,76.03629,21.558733,18.146534,606.9771,0.5294122
35,75.3505,21.382711,18.185272,606.6352,0.52913946
36,75.70361,21.212559,18.222885,606.45544,0.52886623
37,77.16361,21.059896,18.260057,606.1254,0.5285926
38,77.22928,20.904324,18.295883,605.7875,0.52831894
39,77.55971,20.758398,18.330544,605.40106,0.52804685
40,77.718124,20.622688,18.364212,605.0989,0.52777517
41,77.64151,20.479294,18.396688,604.76605,0.5275043
42,78.23743,20.348698,18.428778,604.4319,0.52723455
43,78.75777,20.229795,18.460257,603.90137,0.5269648
44,79.63866,20.115473,18.49121,603.4333,0.5266959
45,79.908936,20.003302,18.520891,603.2203,0.5264274
46,80.47162,19.897903,18.549635,602.8875,0.52615845
47,80.76885,19.788918,18.57778,602.5445,0.52588874
48,81.02187,19.686218,18.604708,602.2252,0.5256193
49,81.05363,19.583942,18.631105,601.8968,0.5253493
50,81.695854,19.495205,18.657143,601.5747,0.5250806
51,82.05914,19.406767,18.682255,601.2985,0.5248131
52,81.9225,19.319225,18.70707,600.9887,0.5245455
53,81.98067,19.240288,18.73166,600.909,0.52427816
54,81.75434,19.156199,18.755999,600.5676,0.52401173
55,82.29697,19.06932,18.779854,600.3524,0.5237461
56,82.58995,18.992292,18.803543,600.04877,0.52348053
57,82.76715,18.914951,18.826881,599.7314,0.5232152
58,82.76843,18.84104,18.850098,599.4265,0.52295125
59,83.38229,18.772167,18.87281,599.08673,0.5226869
60,83.84506,18.698328,18.895176,598.7156,0.5224216
61,83.973755,18.629568,18.917057,598.2437,0.5221563
62,84.22186,18.553276,18.93898,597.9888,0.52189136
63,84.22165,18.485378,18.960598,597.6467,0.5216267
64,84.49359,18.42377,18.982393,597.3351,0.5213626
65,84.67348,18.372707,19.004196,597.0442,0.521099
66,84.67085,18.310375,19.025713,596.7392,0.520836
67,84.70779,18.262096,19.047153,596.40607,0.5205732
68,84.34445,18.197344,19.06783,596.0178,0.5203105
69,84.26831,18.142483,19.088259,595.69403,0.5200479
70,84.35044,18.090094,19.108473,595.3458,0.51978546
71,84.34365,18.031378,19.128218,595.0201,0.5195242
72,84.49774,17.984425,19.147781,594.7189,0.519263
73,84.49093,17.930586,19.16686,594.4005,0.5190021
74,84.23117,17.88129,19.186333,594.10114,0.5187417
75,84.564865,17.832926,19.20542,593.78864,0.5184815
76,84.8528,17.77792,19.22449,593.4385,0.5182209
77,85.4102,17.737202,19.242609,593.11743,0.5179612
78,85.3813,17.697895,19.260176,592.75775,0.51770145
79,85.42591,17.654358,19.277508,592.5615,0.517443
80,85.56003,17.618647,19.294935,592.2428,0.5171852
81,85.51161,17.578733,19.311821,591.911,0.5169274
82,85.41299,17.542675,19.328196,591.63153,0.51667
83,85.19135,17.511108,19.34433,591.3126,0.51641417
84,85.336334,17.475508,19.360207,590.9959,0.5161595
85,85.52207,17.439234,19.376068,590.69464,0.5159053
86,85.298,17.39985,19.391975,590.2824,0.51565206
87,85.40787,17.374054,19.407318,589.9658,0.51539975
88,85.741356,17.335588,19.422745,589.65454,0.5151485
89,86.04245,17.298252,19.438105,589.3695,0.5148984
90,86.08002,17.261896,19.45329,589.034,0.5146497
0,,,,,,0.0,33950.46,28.890083
91,85.998695,17.227345,19.4682,588.7018,0.51440084,,,
92,86.041824,17.202501,19.482794,588.3859,0.5141527,,,
93,86.56567,17.163164,19.49757,588.0703,0.51390386,,,
94,86.22327,17.13542,19.512398,587.7715,0.51365584,,,
95,86.30789,17.105572,19.527685,587.47876,0.5134087,,,
96,86.6912,17.079504,19.542152,587.1593,0.51316136,,,
97,87.10006,17.05313,19.556599,586.8617,0.5129144,,,
98,86.79208,17.01899,19.570776,586.58496,0.5126674,,,
99,87.06204,17.00074,19.58461,586.2702,0.51242036,,,
1,14.483079,32473.713,29.253866
2,19.36938,31066.238,29.421253
3,25.928545,29721.484,30.012053
4,30.392832,28447.688,30.719862
5,30.429056,27215.248,31.442543
6,31.785044,26028.645,32.287983
7,29.030302,24884.209,33.300343
8,25.385633,23787.84,34.427616
9,28.270561,22737.863,35.584698
10,29.988062,21736.207,36.752113
11,31.194963,20789.547,37.96752
12,32.21385,19897.08,39.2606
13,36.570774,19061.688,40.593163
14,33.532837,18283.883,41.90392
15,34.66588,17562.566,43.185738
16,39.102493,16898.395,44.4655
17,41.617455,16288.242,45.74955
18,38.754894,15730.558,47.002525
19,45.527206,15218.904,48.174034
20,43.876823,14747.843,49.26066
21,39.82494,14310.612,50.2847
22,45.06688,13899.173,51.250668
23,42.50482,13507.524,52.126694
24,50.48719,13130.261,52.875664
25,49.885555,12764.008,53.520313
26,63.323696,12407.373,54.103695
27,63.838345,12062.233,54.64409
28,66.70475,11731.793,55.121536
29,71.92405,11417.197,55.53657
30,76.59003,11119.829,55.93602
31,82.75273,10838.47,56.354973
32,88.214935,10572.011,56.7912
33,94.71968,10318.673,57.221436
34,98.09168,10077.068,57.656918
35,106.78295,9845.945,58.123222
36,106.77266,9624.7295,58.61933
37,108.41254,9413.344,59.120083
38,111.40989,9211.748,59.612698
39,112.68681,9019.879,60.11081
40,111.89378,8837.247,60.611534
41,115.601326,8663.456,61.088623
42,119.10262,8497.608,61.53368
43,116.808716,8339.049,61.9631
44,120.20914,8187.4023,62.379753
45,119.11484,8042.283,62.763958
46,120.56385,7903.6123,63.11538
47,124.643555,7771.095,63.4531
48,127.51406,7644.1455,63.78602
49,128.79521,7522.291,64.10829
50,131.4458,7405.064,64.41827
51,134.78265,7292.2544,64.72756
52,140.64764,7183.5146,65.04308
53,140.7467,7078.6787,65.348755
54,141.939,6977.6143,65.64033
55,141.11545,6880.0664,65.93106
56,139.48387,6785.9697,66.21802
57,139.61029,6695.248,66.48823
58,142.06711,6607.6733,66.743706
59,139.50089,6522.963,66.99693
60,144.06819,6441.0166,67.24553
61,145.45006,6361.9287,67.48116
62,145.79202,6285.5684,67.71244
63,145.98862,6211.778,67.94509
64,148.54417,6140.515,68.17015
65,149.10202,6071.6904,68.39216
