,stroke-feature-loss,stroke-style-loss,stroke-content-loss,stroke-tv-loss,stroke-curvature-loss
0,52.171738,17.962185,422.98123,135.04648,0.6840924
1,52.328457,16.808876,424.9238,134.9355,0.68394893
2,53.752335,15.733155,426.9799,134.8043,0.6838016
3,55.371532,14.770726,428.92096,134.69376,0.68364674
4,57.08584,13.878917,430.77484,134.58253,0.68348634
5,57.82875,13.060419,432.61438,134.44215,0.6833189
6,59.300762,12.312836,434.43832,134.33199,0.68314403
7,59.18003,11.624594,436.2384,134.23328,0.6829618
8,60.96962,10.993076,437.99634,134.1259,0.6827723
9,62.49226,10.4189625,439.67633,134.03142,0.6825753
10,64.03368,9.894474,441.26306,133.96603,0.68237174
11,65.93274,9.415697,442.73303,133.8483,0.6821623
12,66.71968,8.9815445,444.0909,133.73465,0.6819473
13,69.02718,8.589734,445.3271,133.59224,0.68172556
14,70.736824,8.236868,446.45667,133.4926,0.68149716
15,71.70469,7.9221764,447.50397,133.37715,0.6812637
16,74.159424,7.6401663,448.4958,133.25383,0.6810252
17,75.859985,7.385202,449.45215,133.1883,0.6807817
18,78.49612,7.151914,450.37244,133.08043,0.68053293
19,79.52613,6.936208,451.2608,132.96452,0.68027973
20,81.08997,6.7329273,452.13135,132.84569,0.6800232
21,82.228195,6.540474,452.9765,132.73323,0.6797634
22,83.24434,6.356714,453.79028,132.61526,0.67949927
23,85.21686,6.1803603,454.56253,132.49431,0.679232
24,85.13965,6.013624,455.29642,132.39487,0.6789614
25,86.71982,5.856919,455.9806,132.3069,0.6786881
26,87.504,5.7093306,456.6104,132.16151,0.6784125
27,88.380325,5.5708227,457.19025,132.04623,0.6781347
28,89.30187,5.4408712,457.7266,131.93726,0.6778545
29,90.30221,5.319253,458.21732,131.8183,0.6775729
30,90.982445,5.202979,458.66284,131.78172,0.67728996
31,91.44586,5.0940156,459.0749,131.7021,0.67700547
32,91.20721,4.9885654,459.44653,131.60135,0.6767197
33,92.03548,4.886654,459.78983,131.49118,0.6764322
34,92.52869,4.787635,460.1137,131.38577,0.67614335
35,92.408745,4.6928935,460.41876,131.24829,0.67585355
36,92.56137,4.6008997,460.7057,131.14305,0.6755632
37,93.32776,4.512821,460.9826,131.05002,0.6752722
38,93.17628,4.42806,461.2525,130.94612,0.67498016
39,93.370285,4.348395,461.5297,130.84488,0.6746875
40,93.08424,4.272956,461.80487,130.7312,0.67439437
41,93.18309,4.202186,462.08725,130.62785,0.6741003
42,93.85074,4.1366487,462.3681,130.53264,0.67380583
43,94.16325,4.0737634,462.65582,130.41588,0.6735112
44,93.32993,4.0148582,462.9527,130.30888,0.6732159
45,94.14154,3.95957,463.25983,130.21968,0.6729203
46,95.023796,3.9065433,463.56476,130.11334,0.67262465
47,94.96144,3.8557682,463.8736,130.00916,0.6723293
48,94.24705,3.8076723,464.1845,129.90753,0.67203325
49,94.50897,3.761837,464.4962,129.8168,0.6717366
50,95.362206,3.7169971,464.8051,129.70528,0.67144024
51,94.92565,3.675302,465.1116,129.57864,0.6711443
52,94.940636,3.635913,465.41327,129.50563,0.67084754
53,95.77251,3.598859,465.70978,129.39903,0.67055094
54,94.898544,3.564126,465.9971,129.28488,0.6702549
55,94.585945,3.531487,466.27905,129.18164,0.66995823
56,94.251396,3.5001936,466.55786,129.08641,0.66966206
57,94.47068,3.4696941,466.8155,128.99329,0.6693664
58,95.05307,3.4407854,467.06702,128.90279,0.6690708
59,95.20146,3.4131656,467.30707,128.81047,0.6687748
60,94.876816,3.3865838,467.54047,128.72087,0.668479
61,95.184395,3.361372,467.75616,128.59912,0.6681826
62,95.956795,3.3373818,467.96255,128.49785,0.66788554
63,95.89943,3.314641,468.15985,128.4038,0.6675886
64,96.4084,3.2937665,468.3443,128.29926,0.66729176
65,96.02688,3.2719712,468.5249,128.20355,0.66699386
66,96.72562,3.2509413,468.69745,128.094,0.6666959
67,96.09748,3.2313023,468.86157,127.98951,0.6663977
68,96.1512,3.2124984,469.0124,127.84328,0.66609937
69,96.62704,3.1945434,469.15283,127.73483,0.66580105
70,96.39363,3.176916,469.28455,127.62994,0.6655028
71,96.67019,3.160021,469.4104,127.56118,0.6652046
72,96.443665,3.1432662,469.52667,127.450905,0.6649056
73,96.39082,3.126586,469.63483,127.33898,0.66460705
74,96.47243,3.1116567,469.73413,127.23949,0.6643083
75,97.11541,3.09656,469.822,127.1486,0.66401017
76,96.25019,3.0821369,469.9035,127.05341,0.6637116
77,96.17402,3.0683389,469.97763,126.94451,0.6634126
78,96.105194,3.0540073,470.04364,126.84933,0.66311353
79,96.6192,3.0394807,470.10928,126.74949,0.66281396
80,97.10738,3.0257332,470.1676,126.65894,0.66251403
81,97.19214,3.0127316,470.21796,126.5366,0.66221434
82,96.434746,2.9998164,470.26932,126.46876,0.6619146
83,96.252426,2.9883263,470.3166,126.361786,0.66161585
84,96.06421,2.9766865,470.35812,126.2686,0.6613173
85,95.65919,2.9655316,470.3991,126.16138,0.66101944
86,95.04564,2.9538271,470.43988,126.05465,0.6607223
87,95.34169,2.943841,470.48077,125.9499,0.6604259
88,95.696625,2.9329255,470.51532,125.852646,0.6601292
89,94.95877,2.922617,470.5482,125.76476,0.65983313
90,95.27634,2.9119446,470.57822,125.66366,0.65953684
0,,,,,,0.0,5651.351,16.575138
91,94.80877,2.9019442,470.60553,125.56909,0.65924114,,,
92,94.737404,2.8934667,470.6283,125.47309,0.6589466,,,
93,95.0014,2.8846903,470.64142,125.372665,0.6586523,,,
94,94.49284,2.8765461,470.654,125.27523,0.6583582,,,
95,94.43164,2.86732,470.6683,125.18377,0.6580642,,,
96,94.80233,2.8579113,470.68146,125.005,0.6577706,,,
97,94.50921,2.848906,470.6912,124.906456,0.6574773,,,
98,94.533195,2.8410144,470.69586,124.87299,0.6571848,,,
99,94.71983,2.833892,470.706,124.76776,0.65689236,,,
1,24.781115,5389.17,16.819332
2,29.335922,5134.8843,16.830921
3,46.471226,4939.172,17.161053
4,40.919243,4764.7524,17.600113
5,39.24536,4620.5283,18.089985
6,49.562695,4502.25,18.563412
7,47.360413,4393.9233,18.958738
8,68.35225,4298.1978,19.307663
9,54.538284,4216.334,19.658451
10,61.857613,4140.929,20.027088
11,63.128124,4068.9585,20.404167
12,78.101906,4002.9314,20.774591
13,75.02879,3943.2568,21.114082
14,76.34329,3886.627,21.40453
15,80.927574,3832.7732,21.657068
16,73.43506,3783.7976,21.902489
17,71.77918,3738.762,22.166292
18,88.36908,3695.6257,22.458971
19,94.60177,3654.8005,22.771793
20,92.98239,3617.0833,23.084719
21,88.36114,3581.2417,23.374535
22,89.10628,3546.3062,23.636917
23,97.88765,3513.111,23.887177
24,100.477936,3481.5642,24.143198
25,103.27191,3450.6536,24.412373
26,113.30069,3420.5737,24.689907
27,106.95455,3391.837,24.958277
28,110.89802,3363.814,25.199265
29,115.736435,3336.232,25.41133
30,106.151566,3309.6494,25.61295
31,102.16238,3283.7656,25.822472
32,98.93503,3258.2297,26.044369
33,102.136566,3233.4626,26.267773
34,116.28206,3209.3633,26.476166
35,128.64258,3185.5898,26.662476
36,126.718994,3162.3857,26.839138
37,116.650604,3139.6685,27.022097
38,115.1027,3117.2014,27.216377
39,112.14966,3095.2039,27.411987
40,111.47901,3073.6572,27.591442
41,106.977356,3052.3809,27.750923
42,114.29619,3031.524,27.901657
43,113.478134,3010.9995,28.05592
44,105.19835,2990.7236,28.217764
45,116.49908,2970.8188,28.378433
46,120.30064,2951.186,28.526787
47,127.03169,2931.8296,28.663631
48,126.47078,2912.786,28.800003
49,116.39726,2893.9456,28.943981
50,126.4868,2875.361,29.09131
51,125.5002,2857.0386,29.230827
52,118.37082,2838.9224,29.360868
53,120.71067,2821.05,29.489689
54,117.41729,2803.3516,29.625336
55,115.01056,2785.8516,29.764904
56,107.76062,2768.5698,29.89746
57,106.23722,2751.4724,30.019835
58,109.777054,2734.5747,30.140453
59,107.190346,2717.8306,30.268597
60,103.52194,2701.2512,30.401928
61,96.94983,2684.8542,30.530537
62,99.28172,2668.622,30.652628
63,102.88234,2652.5564,30.774958
64,102.6456,2636.6252,30.902775
65,93.117546,2620.846,31.031826
66,97.681496,2605.206,31.155579
67,111.567116,2589.7124,31.275784
68,112.44495,2574.353,31.399023
69,114.81196,2559.1218,31.52628
70,119.60939,2544.0308,31.650927
71,113.34369,2529.0647,31.771194
72,123.87419,2514.2295,31.891521
73,114.352356,2499.5056,32.016964
74,111.05863,2484.9026,32.142223
75,114.67224,2470.4143,32.26206
76,120.160164,2456.0479,32.378918
77,113.54035,2441.7927,32.498177
78,110.0481,2427.6458,32.619736
79,114.05989,2413.6045,32.738052
80,112.15119,2399.6658,32.853172
81,114.37855,2385.8281,32.96969
82,113.513626,2372.087,33.088634
83,109.89166,2358.4478,33.20601
84,117.038704,2344.9036,33.319176
85,110.09134,2331.455,33.432274
86,113.7308,2318.0952,33.547783
87,114.87243,2304.827,33.663692
88,112.551865,2291.6519,33.777145
89,109.59575,2278.5674,33.88977
90,104.8295,2265.5688,34.002193
91,106.08531,2252.6582,34.11301
92,105.62992,2239.8325,34.221935
93,104.57749,2227.0862,34.3329
94,106.402435,2214.417,34.4459
95,107.06094,2201.8323,34.55668
96,110.54349,2189.3298,34.665066
97,110.02451,2176.9011,34.774902
98,110.51166,2164.5488,34.884495
99,109.13052,2152.2747,34.992638
100,104.32136,2140.0742,35.099724
101,108.18596,2127.9492,35.206627
102,107.48949,2115.896,35.312267
103,108.037796,2103.9133,35.416336
104,107.47655,2092.0012,35.521503
105,106.72451,2080.158,35.626755
106,108.70665,2068.3882,35.730587
107,109.29099,2056.6887,35.833885
108,114.10851,2045.0564,35.937683
109,113.252426,2033.4882,36.04103
110,110.877525,2021.9861,36.142548
111,112.480034,2010.5447,36.243835
112,113.884674,1999.1667,36.34441
113,113.48803,1987.8528,36.44477
114,110.62582,1976.5979,36.54633
115,109.47739,1965.4028,36.648354
116,108.205185,1954.27,36.74881
117,109.34261,1943.2,36.846714
118,112.37882,1932.1909,36.944344
119,117.182686,1921.2435,37.042007
120,116.37209,1910.355,37.138916
121,116.5861,1899.5194,37.236115
122,117.66089,1888.737,37.33375
123,119.00861,1878.0118,37.430653
124,121.52351,1867.3408,37.527622
125,125.36895,1856.7205,37.624214
126,127.07088,1846.1526,37.719692
127,130.4275,1835.6406,37.81469
128,128.7526,1825.1812,37.91062
129,130.32393,1814.7755,38.005405
130,137.15283,1804.423,38.09855
131,133.99437,1794.1218,38.191406
132,133.08986,1783.8704,38.284904
133,136.13274,1773.667,38.37818
134,139.99585,1763.5132,38.47034
135,140.17484,1753.4138,38.55977
136,141.57544,1743.365,38.648582
137,135.57529,1733.3641,38.73858
138,136.76825,1723.4114,38.828045
139,135.47804,1713.5051,38.91832
140,133.6897,1703.6505,39.008106
141,135.12361,1693.8453,39.09727
142,139.00482,1684.0874,39.187134
143,138.48083,1674.3762,39.27565
144,137.66803,1664.7128,39.365074
145,138.50668,1655.0951,39.453705
146,138.8504,1645.5234,39.541504
147,138.63632,1635.9978,39.62981
148,140.68452,1626.5197,39.71844
149,141.21707,1617.0918,39.805664
150,142.54872,1607.7119,39.892048
151,143.89627,1598.3776,39.9775
152,145.41527,1589.0879,40.063057
153,144.34203,1579.8431,40.14874
154,144.68008,1570.6447,40.234077
155,149.124,1561.4897,40.320526
156,152.70802,1552.3827,40.404503
157,151.30493,1543.3191,40.48752
158,154.63249,1534.2976,40.570297
159,153.3435,1525.3169,40.65558
160,151.4712,1516.3792,40.7399
161,153.17921,1507.4846,40.821976
162,154.15971,1498.634,40.902954
163,152.6567,1489.8231,40.986557
164,155.03516,1481.0574,41.065987
165,155.6739,1472.3292,41.15026
166,154.49706,1463.6539,41.224213
167,157.19962,1455.007,41.31441
168,158.69765,1446.4358,41.377186
169,160.4408,1437.8778,41.48609
170,162.26242,1429.4753,41.520226
171,161.98189,1420.9957,41.658302
172,164.35274,1412.6171,41.67391
173,166.39113,1404.0447,41.7943
174,165.79305,1395.666,41.863308
175,168.854,1387.4601,41.912666
176,167.11472,1379.1382,42.034348
177,166.87965,1370.8625,42.078545
178,165.6592,1362.639,42.1595
179,167.41017,1354.5022,42.25996
180,168.67053,1346.4225,42.303677
181,169.93683,1338.2557,42.4085
182,171.00166,1330.1963,42.478416
