,stroke-style-loss,stroke-content-loss,stroke-tv-loss,stroke-curvature-loss
0,8.826533,3.1245656,294.43823,0.62696236
1,8.618702,3.0223424,275.54843,0.5375406
2,8.430515,2.9380014,258.36774,0.45650747
3,8.252969,2.8670413,242.10962,0.3841318
4,8.085873,2.8078148,226.57333,0.32087412
5,7.9243317,2.76405,212.091,0.26710185
6,7.7683682,2.7279847,199.04243,0.22325796
7,7.6166854,2.6963854,186.43695,0.19010366
8,7.470979,2.6707296,174.86182,0.16790822
9,7.331848,2.649875,164.18108,0.1565464
10,7.1969404,2.6313238,154.12183,0.1549046
11,7.0678654,2.6130915,144.58586,0.16088471
12,6.943034,2.600412,135.74945,0.16801141
13,6.8227572,2.5865855,127.8392,0.17164528
14,6.7062893,2.5810297,120.11707,0.17155167
15,6.5964503,2.5767083,113.02225,0.16839944
16,6.4918423,2.5762868,106.463394,0.16323426
17,6.3940477,2.5749435,100.26667,0.15712614
18,6.302681,2.5740578,94.45033,0.1509603
19,6.2119484,2.5750127,89.1133,0.14571476
20,6.129978,2.57898,84.026,0.14190504
21,6.050248,2.5789895,79.30547,0.13974547
22,5.9772053,2.579112,74.96495,0.13825397
23,5.9044185,2.5806866,71.04522,0.13696752
24,5.838703,2.5822754,67.2802,0.1354893
25,5.7793217,2.5810049,63.704983,0.13376147
26,5.7214756,2.581441,60.455875,0.13213791
27,5.662971,2.5805178,57.417442,0.1307652
28,5.606839,2.5795634,54.561394,0.12962525
29,5.554355,2.5819743,51.887466,0.12826069
30,5.500039,2.5876741,49.63631,0.12676178
31,5.4505672,2.590444,47.24842,0.12583378
32,5.3973985,2.5963635,45.124195,0.12527217
33,5.3494325,2.6017225,43.10065,0.12485131
34,5.306213,2.603351,41.189598,0.12383724
35,5.260047,2.6046233,39.39457,0.12271974
36,5.2197843,2.6077828,37.743122,0.12205508
37,5.178052,2.6116185,36.15657,0.12144383
38,5.1393623,2.6126466,34.720448,0.12057838
39,5.100545,2.6175659,33.37795,0.11993696
40,5.0616975,2.6196177,32.075344,0.119249016
41,5.0234275,2.6192951,30.865381,0.11883333
42,4.9893603,2.6189137,29.733828,0.11834413
43,4.953808,2.6167817,28.685947,0.117677435
44,4.9162235,2.6093245,27.561419,0.11703497
45,4.878663,2.6057653,26.609076,0.11630897
46,4.84179,2.608514,25.71936,0.11558074
47,4.802354,2.6141179,24.890102,0.11480882
48,4.7693634,2.6119206,24.043144,0.11406938
49,4.7329035,2.611052,23.309753,0.11333301
50,4.698373,2.6067486,22.606504,0.11281397
51,4.658139,2.5999484,21.893448,0.11247428
52,4.621667,2.6031585,21.272173,0.11231323
53,4.583515,2.5962029,20.667086,0.11185104
54,4.5512137,2.5896916,20.068327,0.11181815
55,4.5202827,2.5860772,19.522118,0.112008296
56,4.482947,2.5868208,18.959524,0.112359665
57,4.447585,2.5826654,18.439074,0.112443134
58,4.411555,2.5838284,17.909294,0.112450525
59,4.3773875,2.5819535,17.420063,0.11237254
60,4.3440423,2.5844257,16.941664,0.11246809
61,4.305828,2.5864313,16.493649,0.112818316
62,4.2710757,2.5863938,16.070457,0.112959675
63,4.231934,2.5904312,15.630755,0.11302795
64,4.1932445,2.5943823,15.2192135,0.11289679
65,4.1551914,2.596341,14.864734,0.11298312
66,4.11428,2.591028,14.510423,0.1131496
67,4.077432,2.603334,14.156723,0.113675386
68,4.037204,2.6092975,13.845997,0.11400726
69,4.001491,2.6144888,13.519272,0.1143122
70,3.9644802,2.6183496,13.206793,0.11493009
71,3.9302258,2.6182857,12.917675,0.11554203
72,3.8953364,2.6121058,12.626583,0.11586453
73,3.8628166,2.6112692,12.344569,0.11635869
74,3.8346243,2.6066208,12.0572195,0.116947606
75,3.8070045,2.6078994,11.783812,0.11742176
76,3.7782197,2.610611,11.509679,0.117744125
77,3.7543917,2.608217,11.284346,0.118070275
78,3.7234197,2.6082442,11.062168,0.11825656
79,3.7036092,2.6056056,10.812302,0.118176006
80,3.6788344,2.6075246,10.587976,0.11811595
81,3.6584454,2.6067684,10.351375,0.11806949
82,3.6376898,2.6026814,10.158644,0.11812851
83,3.6138477,2.6047602,9.958709,0.11849756
84,3.592342,2.5985742,9.752683,0.11893845
85,3.5714083,2.6055188,9.581316,0.11948151
86,3.5483074,2.606908,9.403426,0.119951576
87,3.52608,2.6042812,9.2379,0.12036045
88,3.506483,2.6093748,9.070798,0.12049888
89,3.4826922,2.6104329,8.894924,0.120712034
90,3.4644604,2.604396,8.716731,0.120834686
0,,,,,18482.416,8.694987
91,3.4474902,2.6014924,8.553478,0.12082847,,
92,3.435555,2.5986843,8.400714,0.120567545,,
93,3.4178724,2.595427,8.25361,0.120176345,,
94,3.39213,2.5957742,8.122582,0.11992963,,
95,3.374044,2.5960293,7.970633,0.119932935,,
96,3.3586006,2.5932345,7.828027,0.119768485,,
97,3.3410196,2.5951486,7.6922455,0.119440384,,
98,3.321793,2.5974455,7.573892,0.1190244,,
99,3.30261,2.5990856,7.4333315,0.1185419,,
1,17966.65,8.743665
2,17474.172,8.797255
3,17006.904,8.862387
4,16560.762,8.939001
5,16132.627,9.026573
6,15721.545,9.124313
7,15330.078,9.230524
8,14960.344,9.343803
9,14612.9795,9.461596
10,14288.449,9.580295
11,13985.098,9.695839
12,13699.614,9.804655
13,13429.905,9.906105
14,13175.582,10.000301
15,12935.971,10.088866
16,12709.441,10.17317
17,12494.419,10.253417
18,12289.56,10.329752
19,12094.195,10.402809
20,11907.727,10.473006
21,11729.633,10.540558
22,11559.4375,10.605993
23,11396.567,10.669195
24,11240.429,10.730072
25,11090.589,10.7888
26,10946.689,10.845561
27,10808.374,10.900672
28,10675.356,10.954332
29,10547.352,11.0066395
30,10424.09,11.05793
31,10305.3,11.108137
32,10190.788,11.157202
33,10080.389,11.2051115
34,9974.021,11.251815
35,9871.511,11.297245
36,9772.678,11.341242
37,9677.377,11.384014
38,9585.463,11.42578
39,9496.806,11.4667845
40,9411.313,11.507221
41,9328.911,11.547133
42,9249.495,11.586745
43,9172.963,11.625979
44,9099.243,11.66463
45,9028.269,11.702466
46,8959.961,11.739279
47,8894.183,11.774835
48,8830.846,11.8090725
49,8769.863,11.842067
50,8711.172,11.873992
51,8654.668,11.905041
52,8600.287,11.935315
53,8547.936,11.9648285
54,8497.521,11.99358
55,8448.956,12.021511
56,8402.175,12.04854
57,8357.1045,12.074657
58,8313.648,12.099806
59,8271.715,12.124023
60,8231.245,12.147383
61,8192.154,12.169975
62,8154.369,12.191847
63,8117.814,12.213076
64,8082.415,12.233616
65,8048.102,12.25338
66,8014.8228,12.272261
67,7982.499,12.290212
68,7951.067,12.307224
69,7920.462,12.32331
70,7890.636,12.33858
71,7861.5586,12.353155
72,7833.1753,12.367109
73,7805.432,12.380464
74,7778.2856,12.393158
75,7751.6978,12.405185
76,7725.6284,12.416554
77,7700.042,12.427294
78,7674.908,12.437499
79,7650.2124,12.447251
80,7625.924,12.456642
81,7602.0107,12.465683
82,7578.4526,12.474255
83,7555.229,12.482316
84,7532.324,12.489855
85,7509.7227,12.496902
86,7487.4014,12.503489
87,7465.3423,12.50968
88,7443.5312,12.51555
89,7421.9556,12.521119
90,7400.612,12.526416
91,7379.4795,12.531475
92,7358.554,12.53626
93,7337.8276,12.540846
94,7317.291,12.54526
95,7296.937,12.549557
96,7276.757,12.553745
97,7256.7495,12.557822
98,7236.903,12.561807
99,7217.212,12.565682
