,stroke-feature-loss,stroke-style-loss,stroke-content-loss,stroke-tv-loss,stroke-curvature-loss
0,24.644663,33.44255,3.1240518,294.43823,0.6247756
1,24.99767,32.785957,3.032286,275.43167,0.5394588
2,24.900648,32.10826,2.9584937,258.07996,0.46444327
3,25.53808,31.427284,2.9051063,242.09734,0.4001284
4,25.706493,30.721481,2.8563733,227.05904,0.34644204
5,25.375446,29.999855,2.814208,212.58046,0.30367056
6,25.493267,29.257069,2.7796524,199.2529,0.27261567
7,25.655268,28.510237,2.7540026,186.77934,0.2519072
8,25.614914,27.740906,2.7347655,175.0749,0.24148828
9,25.22918,26.978783,2.7195332,164.21465,0.24106014
10,24.958612,26.202965,2.7087648,154.21832,0.24951847
11,24.477072,25.435163,2.703766,144.72049,0.2647328
12,24.275013,24.680016,2.7005231,136.0282,0.28230926
13,24.462984,23.92746,2.7002897,127.750824,0.298888
14,23.724499,23.182138,2.7049346,120.04205,0.31410074
15,23.5656,22.458937,2.7097898,113.02249,0.32815146
16,23.349117,21.778912,2.7146785,106.43668,0.34145537
17,23.382261,21.123117,2.7237916,100.27867,0.35428333
18,22.988037,20.497042,2.7316816,94.708595,0.366772
19,23.118488,19.881369,2.7400334,89.31052,0.3790493
20,23.069763,19.307922,2.7515464,84.454056,0.39125776
21,22.961777,18.725704,2.7646847,79.82203,0.40372568
22,23.16034,18.209044,2.7698717,75.502304,0.41635624
23,23.238613,17.70203,2.779924,71.41905,0.42867815
24,23.21682,17.220665,2.789546,67.53176,0.44038174
25,23.405216,16.778095,2.8000104,64.02366,0.45191854
26,23.284807,16.332428,2.8134604,60.80271,0.4632166
27,23.392052,15.930899,2.8227258,57.76979,0.4747458
28,23.333197,15.518257,2.835816,54.91423,0.48608488
29,23.582613,15.148295,2.846178,52.261726,0.49703842
30,23.25803,14.770543,2.855219,49.764584,0.508196
31,23.643871,14.415449,2.8606067,47.5399,0.51927835
32,23.768421,14.058184,2.870522,45.37985,0.52993816
33,23.684282,13.723283,2.8722444,43.478577,0.5400641
34,23.671963,13.406477,2.8824706,41.6381,0.54967743
35,24.058191,13.100839,2.8887749,39.83121,0.558889
36,24.160324,12.796661,2.8985949,38.199585,0.56805253
37,24.336481,12.516914,2.9050543,36.66491,0.5762701
38,24.18947,12.231734,2.9118934,35.230057,0.58402175
39,24.531761,11.934601,2.9256434,33.903973,0.59103024
40,24.524002,11.666089,2.9280918,32.617413,0.5973538
41,24.476786,11.40792,2.9381552,31.447914,0.6031459
