,stroke-feature-loss,stroke-style-loss,stroke-content-loss,stroke-tv-loss,stroke-curvature-loss
0,0.0,33.44175,3.1227927,294.43823,0.6220282
1,0.0,32.777534,3.0310307,275.7068,0.53694004
2,0.0,32.103863,2.958914,258.2344,0.4619409
3,0.0,31.40987,2.8973997,241.86581,0.39797816
4,0.0,30.69807,2.8512444,226.36484,0.3447627
5,0.0,29.975458,2.8117695,211.87741,0.30292866
6,0.0,29.230219,2.779614,198.89888,0.27258125
7,0.0,28.470669,2.7529163,186.65239,0.2525927
8,0.0,27.7189,2.7333312,175.23625,0.24242423
9,0.0,26.950508,2.719728,164.23483,0.24263063
10,0.0,26.192944,2.7100337,154.24901,0.2519073
11,0.0,25.42111,2.7006643,144.90723,0.26824197
12,0.0,24.650032,2.6979237,136.14569,0.2867699
13,0.0,23.917877,2.6967015,128.03593,0.30396402
14,0.0,23.168503,2.7011,120.44026,0.31945384
15,0.0,22.468317,2.7064357,113.318985,0.33329546
16,0.0,21.78955,2.7148597,106.799835,0.3460885
17,0.0,21.121885,2.7272146,100.673706,0.35840455
18,0.0,20.500849,2.7364361,95.0757,0.3704178
19,0.0,19.900661,2.7493026,89.74923,0.3826834
20,0.0,19.308012,2.7667918,84.78693,0.3954075
21,0.0,18.747429,2.7845273,80.0941,0.40803897
22,0.0,18.201918,2.8006165,75.811646,0.42067456
23,0.0,17.668892,2.8119485,71.756485,0.4333343
24,0.0,17.17334,2.8270295,68.013176,0.44579065
25,0.0,16.73248,2.8347335,64.48562,0.4578615
26,0.0,16.293264,2.84333,61.293667,0.46988443
27,0.0,15.874529,2.860506,58.231586,0.4818039
28,0.0,15.480369,2.8690805,55.411495,0.49280304
29,0.0,15.102707,2.8771095,52.773495,0.5026704
30,0.0,14.728635,2.8887973,50.338,0.5120174
31,0.0,14.366379,2.8962939,47.94909,0.5209741
32,0.0,14.036613,2.9102197,45.829453,0.5293791
33,0.0,13.716273,2.9153433,43.781384,0.537716
34,0.0,13.3923435,2.919837,41.99639,0.5460416
35,0.0,13.082245,2.9306283,40.19183,0.554027
36,0.0,12.765051,2.9369104,38.571568,0.56199354
37,0.0,12.469045,2.9390612,37.05075,0.569648
38,0.0,12.161123,2.9504693,35.567104,0.5770494
39,0.0,11.87888,2.959952,34.157032,0.5840672
40,0.0,11.580174,2.972324,32.89229,0.59052736
41,0.0,11.309942,2.9789228,31.698277,0.5963258
42,0.0,11.023325,2.9884708,30.601889,0.60170645
43,0.0,10.747707,3.000217,29.505657,0.60666126
44,0.0,10.458155,3.0168135,28.488989,0.6111714
45,0.0,10.163673,3.0346382,27.528992,0.6149841
46,0.0,9.892834,3.0447671,26.652357,0.618384
47,0.0,9.604532,3.0630536,25.763773,0.6218388
48,0.0,9.336527,3.0726805,24.948858,0.62555635
49,0.0,9.061863,3.0906057,24.219248,0.6290426
50,0.0,8.79836,3.106547,23.48756,0.63261825
51,0.0,8.544712,3.1166582,22.871584,0.6362359
52,0.0,8.28454,3.1233106,22.18534,0.63969475
53,0.0,8.042835,3.134323,21.582422,0.64277697
54,0.0,7.7660108,3.147949,20.952793,0.64574283
55,0.0,7.507575,3.156376,20.405218,0.64889276
56,0.0,7.257026,3.1647108,19.82265,0.65175396
57,0.0,7.038766,3.155568,19.256851,0.65370953
58,0.0,6.796199,3.1485186,18.757057,0.6551823
59,0.0,6.5723705,3.1452966,18.26724,0.65614796
60,0.0,6.358333,3.138595,17.793434,0.6571841
61,0.0,6.1421623,3.1542478,17.3456,0.6581196
62,0.0,5.915956,3.1673715,16.918283,0.65841585
63,0.0,5.719259,3.1725073,16.498583,0.65784925
64,0.0,5.534265,3.1707501,16.140707,0.65698117
65,0.0,5.3676786,3.1716566,15.749836,0.6561548
66,0.0,5.222016,3.1637137,15.374328,0.6553655
67,0.0,5.1221576,3.1480713,15.037612,0.65407056
68,0.0,4.9558115,3.1547794,14.693332,0.6518369
69,0.0,4.8311653,3.1741056,14.347127,0.649504
70,0.0,4.714063,3.1695807,14.025779,0.6472949
71,0.0,4.6036444,3.1591425,13.711362,0.6448078
72,0.0,4.505183,3.1578498,13.40087,0.6412928
73,0.0,4.4068794,3.1525602,13.128151,0.6373863
74,0.0,4.331293,3.1583216,12.851119,0.6336332
75,0.0,4.2221346,3.1554046,12.579,0.62979746
76,0.0,4.1370153,3.162176,12.31283,0.62592083
77,0.0,4.0390644,3.163939,12.057398,0.6221888
78,0.0,3.9919796,3.1563368,11.839643,0.61797655
79,0.0,3.9201508,3.1602702,11.6171,0.6135753
80,0.0,3.8685975,3.159263,11.389621,0.60918635
81,0.0,3.8046463,3.1713996,11.164892,0.60453284
82,0.0,3.7442303,3.168069,10.954173,0.5997107
83,0.0,3.717375,3.152052,10.762418,0.5952435
84,0.0,3.6627192,3.1520247,10.559469,0.5908961
85,0.0,3.6151829,3.1552966,10.368118,0.5861204
86,0.0,3.5777793,3.1516008,10.167043,0.58135295
87,0.0,3.5471027,3.144313,9.987506,0.57638544
88,0.0,3.5102205,3.1467576,9.801361,0.5715621
89,0.0,3.489667,3.1328764,9.653904,0.5669532
90,0.0,3.4517527,3.133391,9.505439,0.56236815
91,0.0,3.4468842,3.1193192,9.348579,0.5577668
92,0.0,3.4053292,3.127843,9.199316,0.5534037
93,0.0,3.3742976,3.1321242,9.045938,0.54908365
94,0.0,3.3576555,3.1326785,8.894232,0.5443602
95,0.0,3.3271327,3.1317961,8.745793,0.5397347
96,0.0,3.3004017,3.138102,8.618148,0.53517985
97,0.0,3.2781806,3.1345491,8.4684725,0.5309541
98,0.0,3.2617164,3.1302867,8.330753,0.5270741
99,0.0,3.2308352,3.1339319,8.211804,0.52375406
